song-name	url
Prologue	https://www.allmusicals.com/lyrics/civilwarthecompleteworkthe/prologue.htm
Brother, My Brother	https://www.allmusicals.com/lyrics/civilwarthecompleteworkthe/brothermybrother.htm
Lincoln: The Better Angels Of Our Nature	https://www.allmusicals.com/lyrics/civilwarthecompleteworkthe/lincolnthebetterangelsofournature.htm
By The Sword/Sons Of Dixie	https://www.allmusicals.com/lyrics/civilwarthecompleteworkthe/bytheswordsonsofdixie.htm
Tell My Father	https://www.allmusicals.com/lyrics/civilwarthecompleteworkthe/tellmyfather.htm
My Name Is Fredrick Douglass	https://www.allmusicals.com/lyrics/civilwarthecompleteworkthe/mynameisfredrickdouglass.htm
Freedom's Child	https://www.allmusicals.com/lyrics/civilwarthecompleteworkthe/freedomschild.htm
Missing You (My Bill)	https://www.allmusicals.com/lyrics/civilwarthecompleteworkthe/missingyoumybill.htm
If Prayin' Were Horses	https://www.allmusicals.com/lyrics/civilwarthecompleteworkthe/ifprayinwerehorses.htm
Virginia	https://www.allmusicals.com/lyrics/civilwarthecompleteworkthe/virginia.htm
The Day The Sun Stood Still	https://www.allmusicals.com/lyrics/civilwarthecompleteworkthe/thedaythesunstoodstill.htm
Oh, Be Joyful!	https://www.allmusicals.com/lyrics/civilwarthecompleteworkthe/ohbejoyful.htm
Frederick Douglass: The Destiny Of America	https://www.allmusicals.com/lyrics/civilwarthecompleteworkthe/frederickdouglassthedestinyofamerica.htm
Father How Long?	https://www.allmusicals.com/lyrics/civilwarthecompleteworkthe/fatherhowlong.htm
Reprise: Brother, My Brother	https://www.allmusicals.com/lyrics/civilwarthecompleteworkthe/reprisebrothermybrother.htm
A Nurse's Diary	https://www.allmusicals.com/lyrics/civilwarthecompleteworkthe/anursesdiary.htm
I Never Knew His Name	https://www.allmusicals.com/lyrics/civilwarthecompleteworkthe/ineverknewhisname.htm
Still I Rise	https://www.allmusicals.com/lyrics/civilwarthecompleteworkthe/stillirise.htm
River Jordan	https://www.allmusicals.com/lyrics/civilwarthecompleteworkthe/riverjordan.htm
Lincoln: The Bottom Is Out Of The Tub	https://www.allmusicals.com/lyrics/civilwarthecompleteworkthe/lincolnthebottomisoutofthetub.htm
How Many Devils?	https://www.allmusicals.com/lyrics/civilwarthecompleteworkthe/howmanydevils.htm
Old Gray Coat	https://www.allmusicals.com/lyrics/civilwarthecompleteworkthe/oldgraycoat.htm
With These Hands	https://www.allmusicals.com/lyrics/civilwarthecompleteworkthe/withthesehands.htm
The White House At Night	https://www.allmusicals.com/lyrics/civilwarthecompleteworkthe/thewhitehouseatnight.htm
A Candle In The Window	https://www.allmusicals.com/lyrics/civilwarthecompleteworkthe/acandleinthewindow.htm
Greenback	https://www.allmusicals.com/lyrics/civilwarthecompleteworkthe/greenback.htm
Sojourner Truth: Ain't I A Woman?	https://www.allmusicals.com/lyrics/civilwarthecompleteworkthe/sojournertruthaintiawoman.htm
I'll Never Pass This Way Again	https://www.allmusicals.com/lyrics/civilwarthecompleteworkthe/illneverpassthiswayagain.htm
Lincoln: Letter To Mrs. Bixby	https://www.allmusicals.com/lyrics/civilwarthecompleteworkthe/lincolnlettertomrsbixby.htm
Sarah	https://www.allmusicals.com/lyrics/civilwarthecompleteworkthe/sarah.htm
The Honor Of Your Name	https://www.allmusicals.com/lyrics/civilwarthecompleteworkthe/thehonorofyourname.htm
Northbound Train	https://www.allmusicals.com/lyrics/civilwarthecompleteworkthe/northboundtrain.htm
Last Waltz For Dixie	https://www.allmusicals.com/lyrics/civilwarthecompleteworkthe/lastwaltzfordixie.htm
In Great Deeds	https://www.allmusicals.com/lyrics/civilwarthecompleteworkthe/ingreatdeeds.htm
For The Glory	https://www.allmusicals.com/lyrics/civilwarthecompleteworkthe/fortheglory.htm
