song-name	url
Commentary	https://www.allmusicals.com/lyrics/commentarythemusical/commentary.htm
Strike!	https://www.allmusicals.com/lyrics/commentarythemusical/strike.htm
Ten Dollar Solo	https://www.allmusicals.com/lyrics/commentarythemusical/tendollarsolo.htm
Better Than Neil	https://www.allmusicals.com/lyrics/commentarythemusical/betterthanneil.htm
The Art	https://www.allmusicals.com/lyrics/commentarythemusical/theart.htm
Zack's Flavour	https://www.allmusicals.com/lyrics/commentarythemusical/zacksflavour.htm
Nobody Wants To Be Moist	https://www.allmusicals.com/lyrics/commentarythemusical/nobodywantstobemoist.htm
Ninja Ropes	https://www.allmusicals.com/lyrics/commentarythemusical/ninjaropes.htm
All About Me	https://www.allmusicals.com/lyrics/commentarythemusical/allaboutme.htm
Nobody's Asian In The Movies	https://www.allmusicals.com/lyrics/commentarythemusical/nobodysasianinthemovies.htm
Heart, Broken	https://www.allmusicals.com/lyrics/commentarythemusical/heartbroken.htm
Neil's Turn	https://www.allmusicals.com/lyrics/commentarythemusical/neilsturn.htm
Commentary (Reprise)	https://www.allmusicals.com/lyrics/commentarythemusical/commentaryreprise.htm
Steve's Song	https://www.allmusicals.com/lyrics/commentarythemusical/stevessong.htm
