song-name	url
Overture/Company	https://www.allmusicals.com/lyrics/company/overturecompany.htm
Little Things You Do Together	https://www.allmusicals.com/lyrics/company/littlethingsyoudotogether.htm
Sorry-Grateful	https://www.allmusicals.com/lyrics/company/sorrygrateful.htm
You Could Drive a Person Crazy	https://www.allmusicals.com/lyrics/company/youcoulddriveapersoncrazy.htm
Have I Got a Girl for You	https://www.allmusicals.com/lyrics/company/haveigotagirlforyou.htm
Someone Is Waiting	https://www.allmusicals.com/lyrics/company/someoneiswaiting.htm
Another Hundred People	https://www.allmusicals.com/lyrics/company/anotherhundredpeople.htm
Getting Married Today	https://www.allmusicals.com/lyrics/company/gettingmarriedtoday.htm
Marry Me a Little	https://www.allmusicals.com/lyrics/company/marrymealittle.htm
Side by Side/What Would We Do Without You?	https://www.allmusicals.com/lyrics/company/sidebysidewhatwouldwedowithoutyou.htm
Poor Baby	https://www.allmusicals.com/lyrics/company/poorbaby.htm
Tick Tock	https://www.allmusicals.com/lyrics/company/ticktock.htm
Barcelona	https://www.allmusicals.com/lyrics/company/barcelona.htm
Ladies Who Lunch	https://www.allmusicals.com/lyrics/company/ladieswholunch.htm
Being Alive	https://www.allmusicals.com/lyrics/company/beingalive.htm
Finale	https://www.allmusicals.com/lyrics/company/finale.htm
