song-name	url
My Heart Stood Still	https://www.allmusicals.com/lyrics/connecticutyankeea/myheartstoodstill.htm
Thou Swell	https://www.allmusicals.com/lyrics/connecticutyankeea/thouswell.htm
On A Desert Island With Thee	https://www.allmusicals.com/lyrics/connecticutyankeea/onadesertislandwiththee.htm
To Keep My Love Alive	https://www.allmusicals.com/lyrics/connecticutyankeea/tokeepmylovealive.htm
Can't You Do A Friend A Favor?	https://www.allmusicals.com/lyrics/connecticutyankeea/cantyoudoafriendafavor.htm
I Feel At Home With You	https://www.allmusicals.com/lyrics/connecticutyankeea/ifeelathomewithyou.htm
You Always Love The Same Girl	https://www.allmusicals.com/lyrics/connecticutyankeea/youalwayslovethesamegirl.htm
New Nothing But You by Shirley Ross	https://www.allmusicals.com/lyrics/connecticutyankeea/newnothingbutyoubyshirleyross.htm
Ev'ry Sunday Afternoon by Shirley Ross	https://www.allmusicals.com/lyrics/connecticutyankeea/evrysundayafternoonbyshirleyross.htm
It Never Entered My Mind by Shirley Ross	https://www.allmusicals.com/lyrics/connecticutyankeea/itneverenteredmymindbyshirleyross.htm
Ev'rything I've Got by Hildegarde	https://www.allmusicals.com/lyrics/connecticutyankeea/evrythingivegotbyhildegarde.htm
