song-name	url
Anitra's Dance	https://www.allmusicals.com/lyrics/contact/anitrasdance.htm
Waltz from Eugene Onegin, Op. 24	https://www.allmusicals.com/lyrics/contact/waltzfromeugeneoneginop24.htm
L'Arle'sienne Suite No. 2/IV. Farandole. Allegro deciso (Tempo di Marcia) - Allegro vivo e deciso (I	https://www.allmusicals.com/lyrics/contact/larlesiennesuiteno2ivfarandoleallegrodecisotempodimarciaallegrovivoedecisoi.htm
You're Nobody Till Somebody Loves You	https://www.allmusicals.com/lyrics/contact/yourenobodytillsomebodylovesyou.htm
Put A Lid On It	https://www.allmusicals.com/lyrics/contact/putalidonit.htm
Sweet Lorraine	https://www.allmusicals.com/lyrics/contact/sweetlorraine.htm
Runaround Sue	https://www.allmusicals.com/lyrics/contact/runaroundsue.htm
Beyond the Sea	https://www.allmusicals.com/lyrics/contact/beyondthesea.htm
Simply Irresistible	https://www.allmusicals.com/lyrics/contact/simplyirresistible.htm
Do You Wanna Dance?	https://www.allmusicals.com/lyrics/contact/doyouwannadance.htm
Topsy	https://www.allmusicals.com/lyrics/contact/topsy.htm
Sing, Sing, Sing (With A Swing) (Parts 1 & 2)	https://www.allmusicals.com/lyrics/contact/singsingsingwithaswingparts12.htm
