song-name	url
Overture	https://www.allmusicals.com/lyrics/copacabana/overture.htm
Copacabana [Opening Sequence]	https://www.allmusicals.com/lyrics/copacabana/copacabanaopeningsequence.htm
Just Arrived	https://www.allmusicals.com/lyrics/copacabana/justarrived.htm
Dancin' Fool	https://www.allmusicals.com/lyrics/copacabana/dancinfool.htm
Night on the Town	https://www.allmusicals.com/lyrics/copacabana/nightonthetown.htm
Man Wanted	https://www.allmusicals.com/lyrics/copacabana/manwanted.htm
Lola	https://www.allmusicals.com/lyrics/copacabana/lola.htm
Who Needs to Dream?	https://www.allmusicals.com/lyrics/copacabana/whoneedstodream.htm
Ay Caramba	https://www.allmusicals.com/lyrics/copacabana/aycaramba.htm
Bolero de Amor	https://www.allmusicals.com/lyrics/copacabana/bolerodeamor.htm
Sweet Heaven	https://www.allmusicals.com/lyrics/copacabana/sweetheaven.htm
Who Am I Kidding?	https://www.allmusicals.com/lyrics/copacabana/whoamikidding.htm
Who Am I Kidding? (Reprise)	https://www.allmusicals.com/lyrics/copacabana/whoamikiddingreprise.htm
This Can't Be Real	https://www.allmusicals.com/lyrics/copacabana/thiscantbereal.htm
Welcome to Havana	https://www.allmusicals.com/lyrics/copacabana/welcometohavana.htm
Mermaid's Tale	https://www.allmusicals.com/lyrics/copacabana/mermaidstale.htm
Bravo	https://www.allmusicals.com/lyrics/copacabana/bravo.htm
Who Needs to Dream? (Reprise)	https://www.allmusicals.com/lyrics/copacabana/whoneedstodreamreprise.htm
Copacabana (Finale)	https://www.allmusicals.com/lyrics/copacabana/copacabanafinale.htm
