song-name	url
Main Title	https://www.allmusicals.com/lyrics/corpsebride/maintitle.htm
According to Plan	https://www.allmusicals.com/lyrics/corpsebride/accordingtoplan.htm
Victor's Piano Solo	https://www.allmusicals.com/lyrics/corpsebride/victorspianosolo.htm
Into the Forest	https://www.allmusicals.com/lyrics/corpsebride/intotheforest.htm
Remains of the Day	https://www.allmusicals.com/lyrics/corpsebride/remainsoftheday.htm
Casting a Spell	https://www.allmusicals.com/lyrics/corpsebride/castingaspell.htm
Moon Dance	https://www.allmusicals.com/lyrics/corpsebride/moondance.htm
Victor's Deception	https://www.allmusicals.com/lyrics/corpsebride/victorsdeception.htm
Tears to Shed	https://www.allmusicals.com/lyrics/corpsebride/tearstoshed.htm
Victoria's Escape	https://www.allmusicals.com/lyrics/corpsebride/victoriasescape.htm
The Piano Duet	https://www.allmusicals.com/lyrics/corpsebride/thepianoduet.htm
New Arrival	https://www.allmusicals.com/lyrics/corpsebride/newarrival.htm
Victoria's Wedding	https://www.allmusicals.com/lyrics/corpsebride/victoriaswedding.htm
The Wedding Song	https://www.allmusicals.com/lyrics/corpsebride/theweddingsong.htm
The Party Arrives	https://www.allmusicals.com/lyrics/corpsebride/thepartyarrives.htm
Victor's Wedding	https://www.allmusicals.com/lyrics/corpsebride/victorswedding.htm
Barkis's Bummer	https://www.allmusicals.com/lyrics/corpsebride/barkissbummer.htm
The Finale	https://www.allmusicals.com/lyrics/corpsebride/thefinale.htm
End Credits Pt. 1	https://www.allmusicals.com/lyrics/corpsebride/endcreditspt1.htm
End Credits Pt. 2	https://www.allmusicals.com/lyrics/corpsebride/endcreditspt2.htm
Ball And Socket Lounge Music 1	https://www.allmusicals.com/lyrics/corpsebride/ballandsocketloungemusic1.htm
Ball And Socket Lounge Music 2	https://www.allmusicals.com/lyrics/corpsebride/ballandsocketloungemusic2.htm
