song-name	url
The Anti-Polio Picnic	https://www.allmusicals.com/lyrics/crybaby/theantipoliopicnic.htm
Watch Your Ass	https://www.allmusicals.com/lyrics/crybaby/watchyourass.htm
I'm Infected	https://www.allmusicals.com/lyrics/crybaby/iminfected.htm
Squeaky Clean	https://www.allmusicals.com/lyrics/crybaby/squeakyclean.htm
Nobody Gets Me	https://www.allmusicals.com/lyrics/crybaby/nobodygetsme.htm
A Whole Lot Worse	https://www.allmusicals.com/lyrics/crybaby/awholelotworse.htm
Screw Loose	https://www.allmusicals.com/lyrics/crybaby/screwloose.htm
Baby Baby Baby Baby Baby (Baby Baby)	https://www.allmusicals.com/lyrics/crybaby/babybabybabybabybabybabybaby.htm
I'm Infected (Reprise)	https://www.allmusicals.com/lyrics/crybaby/iminfectedreprise.htm
You Can't Beat the System	https://www.allmusicals.com/lyrics/crybaby/youcantbeatthesystem.htm
Misery, Agony, Helplessness, Hopelessness, Heartache and Woe	https://www.allmusicals.com/lyrics/crybaby/miseryagonyhelplessnesshopelessnessheartacheandwoe.htm
It's All in My Head	https://www.allmusicals.com/lyrics/crybaby/itsallinmyhead.htm
A Little Upset	https://www.allmusicals.com/lyrics/crybaby/alittleupset.htm
I Did Something Wrong...Once	https://www.allmusicals.com/lyrics/crybaby/ididsomethingwrongonce.htm
Thanks for the Nifty Country!	https://www.allmusicals.com/lyrics/crybaby/thanksfortheniftycountry.htm
This Amazing Offer	https://www.allmusicals.com/lyrics/crybaby/thisamazingoffer.htm
Do That Again	https://www.allmusicals.com/lyrics/crybaby/dothatagain.htm
