song-name	url
Overture	https://www.allmusicals.com/lyrics/danceofthevampires/overture.htm
Angels Arise	https://www.allmusicals.com/lyrics/danceofthevampires/angelsarise.htm
Original Sin	https://www.allmusicals.com/lyrics/danceofthevampires/originalsin.htm
Garlic	https://www.allmusicals.com/lyrics/danceofthevampires/garlic.htm
Logic	https://www.allmusicals.com/lyrics/danceofthevampires/logic.htm
There's Never Been A Night Like This (A Girl As Beautiful As She)	https://www.allmusicals.com/lyrics/danceofthevampires/theresneverbeenanightlikethisagirlasbeautifulasshe.htm
Don't Leave Daddy	https://www.allmusicals.com/lyrics/danceofthevampires/dontleavedaddy.htm
Forevermore in the Night	https://www.allmusicals.com/lyrics/danceofthevampires/forevermoreinthenight.htm
Death Is Such An Odd Thing	https://www.allmusicals.com/lyrics/danceofthevampires/deathissuchanoddthing.htm
Braver Than We Are/Red Boots Ballet/Say A Prayer	https://www.allmusicals.com/lyrics/danceofthevampires/braverthanweareredbootsballetsayaprayer.htm
Come With Me	https://www.allmusicals.com/lyrics/danceofthevampires/comewithme.htm
Vampires In Love	https://www.allmusicals.com/lyrics/danceofthevampires/vampiresinlove.htm
Carpe Noctem	https://www.allmusicals.com/lyrics/danceofthevampires/carpenoctem.htm
For Sarah	https://www.allmusicals.com/lyrics/danceofthevampires/forsarah.htm
Death Is Such An Odd Thing - Reprise	https://www.allmusicals.com/lyrics/danceofthevampires/deathissuchanoddthingreprise.htm
When Love Is Inside You	https://www.allmusicals.com/lyrics/danceofthevampires/whenloveisinsideyou.htm
Eternity	https://www.allmusicals.com/lyrics/danceofthevampires/eternity.htm
Confession Of A Vampire	https://www.allmusicals.com/lyrics/danceofthevampires/confessionofavampire.htm
The Ball (Never Be Enough/You Will Live Forever)	https://www.allmusicals.com/lyrics/danceofthevampires/theballneverbeenoughyouwillliveforever.htm
Braver Than We Are (Reprise)	https://www.allmusicals.com/lyrics/danceofthevampires/braverthanwearereprise.htm
Dance Of The Vampires (Finale)	https://www.allmusicals.com/lyrics/danceofthevampires/danceofthevampiresfinale.htm
