song-name	url
The Spring Of Next Year	https://www.allmusicals.com/lyrics/dearworld/thespringofnextyear.htm
Each Tomorrow Morning	https://www.allmusicals.com/lyrics/dearworld/eachtomorrowmorning.htm
I Don't Want to Know	https://www.allmusicals.com/lyrics/dearworld/idontwanttoknow.htm
I Never Said I Love You	https://www.allmusicals.com/lyrics/dearworld/ineversaidiloveyou.htm
Garbage	https://www.allmusicals.com/lyrics/dearworld/garbage.htm
Dear World	https://www.allmusicals.com/lyrics/dearworld/dearworld.htm
Kiss Her Now	https://www.allmusicals.com/lyrics/dearworld/kisshernow.htm
Tea Party:Memory/Pearls/Dickie/Voices/Thoughts	https://www.allmusicals.com/lyrics/dearworld/teapartymemorypearlsdickievoicesthoughts.htm
And I Was Beutiful	https://www.allmusicals.com/lyrics/dearworld/andiwasbeutiful.htm
Each Tomorrow Morning (Reprise)	https://www.allmusicals.com/lyrics/dearworld/eachtomorrowmorningreprise.htm
One Person	https://www.allmusicals.com/lyrics/dearworld/oneperson.htm
