song-name	url
Overture	https://www.allmusicals.com/lyrics/deathnote/overture.htm
Where is the Justice?	https://www.allmusicals.com/lyrics/deathnote/whereisthejustice.htm
They're Only Human	https://www.allmusicals.com/lyrics/deathnote/theyreonlyhuman.htm
Change the World	https://www.allmusicals.com/lyrics/deathnote/changetheworld.htm
Hurricane	https://www.allmusicals.com/lyrics/deathnote/hurricane.htm
Kira	https://www.allmusicals.com/lyrics/deathnote/kira.htm
I'm Ready	https://www.allmusicals.com/lyrics/deathnote/imready.htm
We All Need a Hero	https://www.allmusicals.com/lyrics/deathnote/weallneedahero.htm
The Game Begins	https://www.allmusicals.com/lyrics/deathnote/thegamebegins.htm
There Are Lines	https://www.allmusicals.com/lyrics/deathnote/therearelines.htm
Secrets and Lies	https://www.allmusicals.com/lyrics/deathnote/secretsandlies.htm
Hurricane (Reprise)	https://www.allmusicals.com/lyrics/deathnote/hurricanereprise.htm
Change the World (Reprise)	https://www.allmusicals.com/lyrics/deathnote/changetheworldreprise.htm
Where is the Justice? (Reprise)	https://www.allmusicals.com/lyrics/deathnote/whereisthejusticereprise.htm
Where is the Justice? (Reprise 2)	https://www.allmusicals.com/lyrics/deathnote/whereisthejusticereprise2.htm
Mortals and Fools	https://www.allmusicals.com/lyrics/deathnote/mortalsandfools.htm
Stalemate	https://www.allmusicals.com/lyrics/deathnote/stalemate.htm
I'll Only Love You More	https://www.allmusicals.com/lyrics/deathnote/illonlyloveyoumore.htm
The Way Things Are	https://www.allmusicals.com/lyrics/deathnote/thewaythingsare.htm
Mortals and Fools (Reprise)	https://www.allmusicals.com/lyrics/deathnote/mortalsandfoolsreprise.htm
Honor Bound	https://www.allmusicals.com/lyrics/deathnote/honorbound.htm
Playing His Game	https://www.allmusicals.com/lyrics/deathnote/playinghisgame.htm
Playing His Game (Reprise)	https://www.allmusicals.com/lyrics/deathnote/playinghisgamereprise.htm
Borrowed Time	https://www.allmusicals.com/lyrics/deathnote/borrowedtime.htm
When Love Comes	https://www.allmusicals.com/lyrics/deathnote/whenlovecomes.htm
The Way Things Are (Reprise)	https://www.allmusicals.com/lyrics/deathnote/thewaythingsarereprise.htm
The Way It Ends	https://www.allmusicals.com/lyrics/deathnote/thewayitends.htm
Hurricane (Reprise 2)	https://www.allmusicals.com/lyrics/deathnote/hurricanereprise2.htm
Requiem	https://www.allmusicals.com/lyrics/deathnote/requiem.htm
