song-name	url
A Whole New World (Alladin)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/awholenewworldalladin.htm
Circle of Life (Lion King)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/circleoflifelionking.htm
Beauty and the Beast (Beauty and the Beast)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/beautyandthebeastbeautyandthebeast.htm
Under the Sea (The Little Mermaid)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/undertheseathelittlemermaid.htm
Hakuna Matata (Lion King)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/hakunamatatalionking.htm
Kiss the Girl (The Little Mermaid)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/kissthegirlthelittlemermaid.htm
I Just Can't Wait to Be King (Lion King)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/ijustcantwaittobekinglionking.htm
Poor Unfortunate Souls (The Little Mermaid)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/poorunfortunatesoulsthelittlemermaid.htm
Chim Chim Cher-ee (Mary Poppins)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/chimchimchereemarypoppins.htm
Jolly Holiday (Mary Poppins)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/jollyholidaymarypoppins.htm
A Spoonful of Sugar (Mary Poppins)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/aspoonfulofsugarmarypoppins.htm
Let's Get Together (The Parent Trap)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/letsgettogethertheparenttrap.htm
The Monkey's Uncle (The Monkey's Uncle)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/themonkeysunclethemonkeysuncle.htm
The Ugly Bug Ball (Summer Magic)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/theuglybugballsummermagic.htm
The Spectrum Song (Walt Disney's Wonderful World of Color)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/thespectrumsongwaltdisneyswonderfulworldofcolor.htm
Colonel Hathi's March (The Jungle Book)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/colonelhathismarchthejunglebook.htm
A Whale of a Tale (20,000 Leagues Under the Sea)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/awhaleofatale20000leaguesunderthesea.htm
You Can Fly! You Can Fly! You Can Fly! (Peter Pan)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/youcanflyyoucanflyyoucanflypeterpan.htm
The Work Song (Cinderella)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/theworksongcinderella.htm
A Dream is a Wish Your Heart Makes (Cinderella)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/adreamisawishyourheartmakescinderella.htm
Zip-A-Dee-Doo-Dah (Song of the South)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/zipadeedoodahsongofthesouth.htm
Dance of the Reed Flutes (Fantasia)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/danceofthereedflutesfantasia.htm
Love Is a Song (Bembi)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/loveisasongbembi.htm
Someday My Prince Will Come (Snow White and the Seven Dwarfs)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/somedaymyprincewillcomesnowwhiteandthesevendwarfs.htm
Minnie's Yoo Hoo! (Mickey's Follies)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/minniesyoohoomickeysfollies.htm
Be Our Guest (Beauty & The Beast)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/beourguestbeautythebeast.htm
Can You Feel the Love Tonight (The Lion King)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/canyoufeelthelovetonightthelionking.htm
Part of Your World (The Little Mermaid)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/partofyourworldthelittlemermaid.htm
One Jump Ahead (Alladin)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/onejumpaheadalladin.htm
Gaston (Beauty And the Beast)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/gastonbeautyandthebeast.htm
Something There (Beauty And the Beast)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/somethingtherebeautyandthebeast.htm
Supercalifragilisticexpialidocious (Mary Poppins)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/supercalifragilisticexpialidociousmarypoppins.htm
Candle on the Water  (Pete's Dragon)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/candleonthewaterpetesdragon.htm
Main Street Electrical Parade (Disneyland)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/mainstreetelectricalparadedisneyland.htm
The Age of Not Believing (Bedknobs and Broomsticks)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/theageofnotbelievingbedknobsandbroomsticks.htm
The Bare Necessities (The Jungle Book)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/thebarenecessitiesthejunglebook.htm
Feed the Birds (Mary Poppins)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/feedthebirdsmarypoppins.htm
Best of Friends (The Fox and the Hound)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/bestoffriendsthefoxandthehound.htm
Let's Go Fly a Kite (Mary Poppins)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/letsgoflyakitemarypoppins.htm
It's a Small World (Disneyland)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/itsasmallworlddisneyland.htm
The Tiki, Tiki, Tiki Room (Disneyland)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/thetikitikitikiroomdisneyland.htm
Mickey Mouse Club March (Mickey Mouse Club)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/mickeymouseclubmarchmickeymouseclub.htm
On the Front Porch (Summer Magic)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/onthefrontporchsummermagic.htm
The Second Star to the Right (Peter Pan)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/thesecondstartotherightpeterpan.htm
Ev'rybody Has a Laughing Place (Song of the South)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/evrybodyhasalaughingplacesongofthesouth.htm
Bibbidi-Bobbidi-Boo (Cinderella)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/bibbidibobbidiboocinderella.htm
So This is Love (Cinderella)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/sothisislovecinderella.htm
When You Wish Upon a Star (Pinocchio)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/whenyouwishuponastarpinocchio.htm
Heigh-Ho (Snowwhite & the 7 Dwarfs)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/heighhosnowwhitethe7dwarfs.htm
Who's Afraid of the Big Bad Wolf (The 3 Little Pigs)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/whosafraidofthebigbadwolfthe3littlepigs.htm
Colors of the Wind (Pocahontas)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/colorsofthewindpocahontas.htm
You've Got a Friend in Me (Toy Story)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/youvegotafriendinmetoystory.htm
Be Prepared (The Lion King)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/bepreparedthelionking.htm
Out There (The Hunchback of Notre Dame)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/outtherethehunchbackofnotredame.htm
Family (James & The Giant Peach)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/familyjamesthegiantpeach.htm
Les Poissons (The Little Mermaid)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/lespoissonsthelittlemermaid.htm
Mine, Mine, Mine (Pocahontas)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/minemineminepocahontas.htm
Jack's Lament (The Nightmare Before Christmas)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/jackslamentthenightmarebeforechristmas.htm
My Name Is James (Jame & The Giant Peach)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/mynameisjamesjamethegiantpeach.htm
Heffalumps and Woozles (Winnie the Pooh and the Blustery Day)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/heffalumpsandwoozleswinniethepoohandtheblusteryday.htm
The Mob Song (Beauty & The Beast)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/themobsongbeautythebeast.htm
Portobello Road (Bedknobs and Broomsticks)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/portobelloroadbedknobsandbroomsticks.htm
Stay Awake (Mary Poppins)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/stayawakemarypoppins.htm
I Wan'na Be Like You (The Jungle Book)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/iwannabelikeyouthejunglebook.htm
Oo-De-Lally (Robin Hood)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/oodelallyrobinhood.htm
Are We Dancing (The Happiest Millionaire)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/arewedancingthehappiestmillionaire.htm
Once Upon a Dream (Sleeping Beauty)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/onceuponadreamsleepingbeauty.htm
Bella Notte (Lady and the Tramp)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/bellanotteladyandthetramp.htm
Following the Leader (Peter Pan)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/followingtheleaderpeterpan.htm
Trust in Me (The Jungle Book)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/trustinmethejunglebook.htm
The Ballad of Davy Crockett (Davy Crockett)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/theballadofdavycrockettdavycrockett.htm
I'm Professor Ludwig Von Drake (Walt Disney's Wonderful World of Color)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/improfessorludwigvondrakewaltdisneyswonderfulworldofcolor.htm
Pink Elephants on Parade (Dumbo)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/pinkelephantsonparadedumbo.htm
Little April Shower (Bambi)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/littleaprilshowerbambi.htm
The Silly Song (Snow White & the 7 Dwarfs)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/thesillysongsnowwhitethe7dwarfs.htm
One Last Hope (Hercules)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/onelasthopehercules.htm
A Guy Like You (The Hunchback of Norte Dame)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/aguylikeyouthehunchbackofnortedame.htm
On the Open Road (A Goofy Movie)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/ontheopenroadagoofymovie.htm
Just Around the Riverbend (Pocahontas)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/justaroundtheriverbendpocahontas.htm
Home (Beauty & the Beast (Broadway Musical))	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/homebeautythebeastbroadwaymusical.htm
Fantasmic! (Disneyland)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/fantasmicdisneyland.htm
Oogie Boogie's Song (The Nightmare Before Christmas)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/oogieboogiessongthenightmarebeforechristmas.htm
I Will Go Sailing No More (Toy Story)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/iwillgosailingnomoretoystory.htm
Substitutiary Locomotion (Bedknobs and Broomsticks)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/substitutiarylocomotionbedknobsandbroomsticks.htm
Stop, Look, and Listen/I'm No Fool (Mickey Mouse Club)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/stoplookandlistenimnofoolmickeymouseclub.htm
Love (Robin Hood)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/loverobinhood.htm
Thomas O'Malley Cat (The Aristocats)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/thomasomalleycatthearistocats.htm
That's What Friends Are For (The Jungle Book)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/thatswhatfriendsareforthejunglebook.htm
Winnie the Pooh	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/winniethepooh.htm
Femininity (Summer Magic)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/femininitysummermagic.htm
Ten Feet Off the Ground (The One and Only, Genuine, Original Family Band)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/tenfeetoffthegroundtheoneandonlygenuineoriginalfamilyband.htm
The Siamese Cat Song (Lady and the Tramp)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/thesiamesecatsongladyandthetramp.htm
Enjoy It! (In Search of the Castaways (film))	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/enjoyitinsearchofthecastawaysfilm.htm
Give a Little Whistle (Pinocchio)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/givealittlewhistlepinocchio.htm
Oh, Sing Sweet Nightingale (Cinderella)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/ohsingsweetnightingalecinderella.htm
I Wonder (Sleeping Beauty)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/iwondersleepingbeauty.htm
Looking for Romance / I Bring You A Song (Bambi)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/lookingforromanceibringyouasongbambi.htm
Baby Mine (Dumbo)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/babyminedumbo.htm
I'm Wishing/One Song (Snow White & the 7 Dwarfs)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/imwishingonesongsnowwhitethe7dwarfs.htm
I'll Make a Man Out of You (Mulan)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/illmakeamanoutofyoumulan.htm
I Won't Say / I'm in Love (Hercules)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/iwontsayiminlovehercules.htm
God Help the Outcasts (The Hunchback of Notre Dame)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/godhelptheoutcaststhehunchbackofnotredame.htm
If I Can't Love Her (Beauty and the Beast)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/ificantloveherbeautyandthebeast.htm
Steady As The Beating Drum (Pocahontas)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/steadyasthebeatingdrumpocahontas.htm
Belle (Beauty & the Beast)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/bellebeautythebeast.htm
Strange Things (Toy Story)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/strangethingstoystory.htm
Cruella De Vil (101 Dalmatians)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/cruelladevil101dalmatians.htm
Eating the Peach (James and the Giant Peach)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/eatingthepeachjamesandthegiantpeach.htm
Seize the Day (Newsies)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/seizethedaynewsies.htm
What's This? (The Nightmare Before Christmas)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/whatsthisthenightmarebeforechristmas.htm
Lavender Blue / Dilly Dilly (So Dear to My Heart)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/lavenderbluedillydillysodeartomyheart.htm
The Rain Rain Rain Came Down Down Down (Winnie the Pooh and the Blustery Day)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/therainrainraincamedowndowndownwinniethepoohandtheblusteryday.htm
A Step in the Right Direction (Bedknobs and Broomsticks)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/astepintherightdirectionbedknobsandbroomsticks.htm
Boo Bop Bopbop Bop (Pete's Dragon)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/boobopbopbopboppetesdragon.htm
Yo Ho / A Pirate's Life for Me (Disneyland)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/yohoapirateslifeformedisneyland.htm
My Own Home (The Jungle Book)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/myownhomethejunglebook.htm
Ev'rybody Wants to Be a Cat (The Aristocats)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/evrybodywantstobeacatthearistocats.htm
In a World of My Own (Alice in Wonderland)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/inaworldofmyownaliceinwonderland.htm
You Belong to My Heart (The 3 Caballeros)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/youbelongtomyheartthe3caballeros.htm
Humphrey Hop (In the Bag)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/humphreyhopinthebag.htm
He's a Tramp (Lady and the Tramp)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/hesatrampladyandthetramp.htm
How Do You Do?  (Song of the South)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/howdoyoudosongofthesouth.htm
When I See an Elephant Fly (Dumbo)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/wheniseeanelephantflydumbo.htm
I've Got No Strings (Pinocchio)	https://www.allmusicals.com/lyrics/disney60yearsofmusicalmagic/ivegotnostringspinocchio.htm
