song-name	url
Prologue (The Enchantress)	https://www.allmusicals.com/lyrics/disneysbeautyandthebeast/prologuetheenchantress.htm
Belle	https://www.allmusicals.com/lyrics/disneysbeautyandthebeast/belle.htm
No Matter What	https://www.allmusicals.com/lyrics/disneysbeautyandthebeast/nomatterwhat.htm
No Matter What (Reprise)	https://www.allmusicals.com/lyrics/disneysbeautyandthebeast/nomatterwhatreprise.htm
Me	https://www.allmusicals.com/lyrics/disneysbeautyandthebeast/me.htm
Belle (Reprise)	https://www.allmusicals.com/lyrics/disneysbeautyandthebeast/bellereprise.htm
Home	https://www.allmusicals.com/lyrics/disneysbeautyandthebeast/home.htm
Home (Reprise)	https://www.allmusicals.com/lyrics/disneysbeautyandthebeast/homereprise.htm
Gaston	https://www.allmusicals.com/lyrics/disneysbeautyandthebeast/gaston.htm
Gaston (Reprise)	https://www.allmusicals.com/lyrics/disneysbeautyandthebeast/gastonreprise.htm
How Long Must This Go On?	https://www.allmusicals.com/lyrics/disneysbeautyandthebeast/howlongmustthisgoon.htm
Be Our Guest	https://www.allmusicals.com/lyrics/disneysbeautyandthebeast/beourguest.htm
If I Can't Love Her	https://www.allmusicals.com/lyrics/disneysbeautyandthebeast/ificantloveher.htm
Entr'acte/Wolf Chase	https://www.allmusicals.com/lyrics/disneysbeautyandthebeast/entractewolfchase.htm
Something There	https://www.allmusicals.com/lyrics/disneysbeautyandthebeast/somethingthere.htm
Human Again	https://www.allmusicals.com/lyrics/disneysbeautyandthebeast/humanagain.htm
Maison des Lunes	https://www.allmusicals.com/lyrics/disneysbeautyandthebeast/maisondeslunes.htm
Beauty and the Beast	https://www.allmusicals.com/lyrics/disneysbeautyandthebeast/beautyandthebeast.htm
If I Can't Love Her (Reprise)	https://www.allmusicals.com/lyrics/disneysbeautyandthebeast/ificantloveherreprise.htm
Mob Song	https://www.allmusicals.com/lyrics/disneysbeautyandthebeast/mobsong.htm
Battle	https://www.allmusicals.com/lyrics/disneysbeautyandthebeast/battle.htm
End Duet/Transformation	https://www.allmusicals.com/lyrics/disneysbeautyandthebeast/endduettransformation.htm
Beauty and the Beast (Reprise)	https://www.allmusicals.com/lyrics/disneysbeautyandthebeast/beautyandthebeastreprise.htm
