song-name	url
Someone Woke Up	https://www.allmusicals.com/lyrics/doihearawaltz/someonewokeup.htm
This Week, Americans	https://www.allmusicals.com/lyrics/doihearawaltz/thisweekamericans.htm
What Do We Do? We Fly!	https://www.allmusicals.com/lyrics/doihearawaltz/whatdowedowefly.htm
Someone Like You	https://www.allmusicals.com/lyrics/doihearawaltz/someonelikeyou.htm
Bargaining	https://www.allmusicals.com/lyrics/doihearawaltz/bargaining.htm
Here We Are Again	https://www.allmusicals.com/lyrics/doihearawaltz/hereweareagain.htm
Thinking	https://www.allmusicals.com/lyrics/doihearawaltz/thinking.htm
No Understand	https://www.allmusicals.com/lyrics/doihearawaltz/nounderstand.htm
Take The Moment	https://www.allmusicals.com/lyrics/doihearawaltz/takethemoment.htm
Moon In My Window	https://www.allmusicals.com/lyrics/doihearawaltz/mooninmywindow.htm
We're Gonna Be All Right	https://www.allmusicals.com/lyrics/doihearawaltz/weregonnabeallright.htm
Do I Hear A Waltz?	https://www.allmusicals.com/lyrics/doihearawaltz/doihearawaltz.htm
Stay	https://www.allmusicals.com/lyrics/doihearawaltz/stay.htm
Perfectly Lovely Couple	https://www.allmusicals.com/lyrics/doihearawaltz/perfectlylovelycouple.htm
Thank You So Much	https://www.allmusicals.com/lyrics/doihearawaltz/thankyousomuch.htm
