song-name	url
Prelude	https://www.allmusicals.com/lyrics/dracula/prelude.htm
A Quiet Life	https://www.allmusicals.com/lyrics/dracula/aquietlife.htm
Over Whitby Bay	https://www.allmusicals.com/lyrics/dracula/overwhitbybay.htm
Jonathan's Bedroom	https://www.allmusicals.com/lyrics/dracula/jonathansbedroom.htm
Forever Young	https://www.allmusicals.com/lyrics/dracula/foreveryoung.htm
Fresh Blood	https://www.allmusicals.com/lyrics/dracula/freshblood.htm
The Master's Song	https://www.allmusicals.com/lyrics/dracula/themasterssong.htm
How Do You Choose?	https://www.allmusicals.com/lyrics/dracula/howdoyouchoose.htm
The Mist	https://www.allmusicals.com/lyrics/dracula/themist.htm
The Mist (Reprise)	https://www.allmusicals.com/lyrics/dracula/themistreprise.htm
Modern World / A Perfect Life	https://www.allmusicals.com/lyrics/dracula/modernworldaperfectlife.htm
The Weddings	https://www.allmusicals.com/lyrics/dracula/theweddings.htm
Prayer for the Dead	https://www.allmusicals.com/lyrics/dracula/prayerforthedead.htm
Life After Life	https://www.allmusicals.com/lyrics/dracula/lifeafterlife.htm
Undead One, Surrender	https://www.allmusicals.com/lyrics/dracula/undeadonesurrender.htm
The Heart Is Slow to Learn	https://www.allmusicals.com/lyrics/dracula/theheartisslowtolearn.htm
The Master's Song (reprise)	https://www.allmusicals.com/lyrics/dracula/themasterssongreprise.htm
If I Could Fly	https://www.allmusicals.com/lyrics/dracula/ificouldfly.htm
Mina's seduction	https://www.allmusicals.com/lyrics/dracula/minasseduction.htm
There's Always a Tomorrow	https://www.allmusicals.com/lyrics/dracula/theresalwaysatomorrow.htm
Deep in the Darkest Night	https://www.allmusicals.com/lyrics/dracula/deepinthedarkestnight.htm
Before the Summer Ends	https://www.allmusicals.com/lyrics/dracula/beforethesummerends.htm
All Is Dark,Life After Life (reprise)	https://www.allmusicals.com/lyrics/dracula/allisdarklifeafterlifereprise.htm
The Longer I Live	https://www.allmusicals.com/lyrics/dracula/thelongerilive.htm
Finale	https://www.allmusicals.com/lyrics/dracula/finale.htm
The Seduction	https://www.allmusicals.com/lyrics/dracula/theseduction.htm
Nosferatu	https://www.allmusicals.com/lyrics/dracula/nosferatu.htm
