song-name	url
Overture	https://www.allmusicals.com/lyrics/drowsychaperonethe/overture.htm
Hello	https://www.allmusicals.com/lyrics/drowsychaperonethe/hello.htm
Fancy Dress	https://www.allmusicals.com/lyrics/drowsychaperonethe/fancydress.htm
Percy Human	https://www.allmusicals.com/lyrics/drowsychaperonethe/percyhuman.htm
Cold Feets	https://www.allmusicals.com/lyrics/drowsychaperonethe/coldfeets.htm
Ooops Girl	https://www.allmusicals.com/lyrics/drowsychaperonethe/ooopsgirl.htm
Show Off	https://www.allmusicals.com/lyrics/drowsychaperonethe/showoff.htm
Beatrice Stockwell	https://www.allmusicals.com/lyrics/drowsychaperonethe/beatricestockwell.htm
As We Stumble Along	https://www.allmusicals.com/lyrics/drowsychaperonethe/aswestumblealong.htm
Roman Bartelli	https://www.allmusicals.com/lyrics/drowsychaperonethe/romanbartelli.htm
I Am Aldolpho	https://www.allmusicals.com/lyrics/drowsychaperonethe/iamaldolpho.htm
Accident Waiting to Happen	https://www.allmusicals.com/lyrics/drowsychaperonethe/accidentwaitingtohappen.htm
Tall Brothers	https://www.allmusicals.com/lyrics/drowsychaperonethe/tallbrothers.htm
Toledo Surprise	https://www.allmusicals.com/lyrics/drowsychaperonethe/toledosurprise.htm
Act 1 Finale	https://www.allmusicals.com/lyrics/drowsychaperonethe/act1finale.htm
Message from a Nightingale	https://www.allmusicals.com/lyrics/drowsychaperonethe/messagefromanightingale.htm
Bride's Lament	https://www.allmusicals.com/lyrics/drowsychaperonethe/brideslament.htm
Love Is Always Lovely in the End	https://www.allmusicals.com/lyrics/drowsychaperonethe/loveisalwayslovelyintheend.htm
George's Triumph	https://www.allmusicals.com/lyrics/drowsychaperonethe/georgestriumph.htm
I Do, I Do in the Sky	https://www.allmusicals.com/lyrics/drowsychaperonethe/idoidointhesky.htm
As We Stumble Along (Reprise)	https://www.allmusicals.com/lyrics/drowsychaperonethe/aswestumblealongreprise.htm
I Remember Love	https://www.allmusicals.com/lyrics/drowsychaperonethe/irememberlove.htm
