song-name	url
Become	https://www.allmusicals.com/lyrics/edgesasongcycle/become.htm
Monticello	https://www.allmusicals.com/lyrics/edgesasongcycle/monticello.htm
Lying There	https://www.allmusicals.com/lyrics/edgesasongcycle/lyingthere.htm
I Hmm You	https://www.allmusicals.com/lyrics/edgesasongcycle/ihmmyou.htm
Along the Way	https://www.allmusicals.com/lyrics/edgesasongcycle/alongtheway.htm
Pretty Sweet Day	https://www.allmusicals.com/lyrics/edgesasongcycle/prettysweetday.htm
Perfect	https://www.allmusicals.com/lyrics/edgesasongcycle/perfect.htm
Coasting	https://www.allmusicals.com/lyrics/edgesasongcycle/coasting.htm
In Short	https://www.allmusicals.com/lyrics/edgesasongcycle/inshort.htm
Dispensable	https://www.allmusicals.com/lyrics/edgesasongcycle/dispensable.htm
I Once Knew	https://www.allmusicals.com/lyrics/edgesasongcycle/ionceknew.htm
I've Gotta Run	https://www.allmusicals.com/lyrics/edgesasongcycle/ivegottarun.htm
Part of a Painting	https://www.allmusicals.com/lyrics/edgesasongcycle/partofapainting.htm
Ready to Be Loved	https://www.allmusicals.com/lyrics/edgesasongcycle/readytobeloved.htm
Like Breathing	https://www.allmusicals.com/lyrics/edgesasongcycle/likebreathing.htm
Boy with Dreams	https://www.allmusicals.com/lyrics/edgesasongcycle/boywithdreams.htm
Be My Friend (Facebook)	https://www.allmusicals.com/lyrics/edgesasongcycle/bemyfriendfacebook.htm
Caitlyn and Haley	https://www.allmusicals.com/lyrics/edgesasongcycle/caitlynandhaley.htm
Man of My Dreams	https://www.allmusicals.com/lyrics/edgesasongcycle/manofmydreams.htm
