song-name	url
Book of the Dead	https://www.allmusicals.com/lyrics/evildead/bookofthedead.htm
Cabin in the Woods	https://www.allmusicals.com/lyrics/evildead/cabininthewoods.htm
Stupid Bitch	https://www.allmusicals.com/lyrics/evildead/stupidbitch.htm
Housewares Employee	https://www.allmusicals.com/lyrics/evildead/housewaresemployee.htm
Evil Trees	https://www.allmusicals.com/lyrics/evildead/eviltrees.htm
It Won't Let Us Leave	https://www.allmusicals.com/lyrics/evildead/itwontletusleave.htm
Look Who's Evil Now	https://www.allmusicals.com/lyrics/evildead/lookwhosevilnow.htm
What the F**k Was That?	https://www.allmusicals.com/lyrics/evildead/whatthefkwasthat.htm
Join Us	https://www.allmusicals.com/lyrics/evildead/joinus.htm
Good Old Reliable Jake (Intro)	https://www.allmusicals.com/lyrics/evildead/goodoldreliablejakeintro.htm
Good Old Reliable Jake	https://www.allmusicals.com/lyrics/evildead/goodoldreliablejake.htm
Housewares Employee (Reprise)	https://www.allmusicals.com/lyrics/evildead/housewaresemployeereprise.htm
Death is a B****	https://www.allmusicals.com/lyrics/evildead/deathisab.htm
I'm Not A Killer	https://www.allmusicals.com/lyrics/evildead/imnotakiller.htm
Evil Puns	https://www.allmusicals.com/lyrics/evildead/evilpuns.htm
Bit Part Demon	https://www.allmusicals.com/lyrics/evildead/bitpartdemon.htm
Good..Bad..I'm the Guy with the Gun	https://www.allmusicals.com/lyrics/evildead/goodbadimtheguywiththegun.htm
All the Men in My Life Keep Getting Killed by Candaian 19. Demons	https://www.allmusicals.com/lyrics/evildead/allthemeninmylifekeepgettingkilledbycandaian19demons.htm
Ode to an Accidental Stabbing	https://www.allmusicals.com/lyrics/evildead/odetoanaccidentalstabbing.htm
Boomstick	https://www.allmusicals.com/lyrics/evildead/boomstick.htm
Do the Necronomicon	https://www.allmusicals.com/lyrics/evildead/dothenecronomicon.htm
It's Time	https://www.allmusicals.com/lyrics/evildead/itstime.htm
We Will Never Die	https://www.allmusicals.com/lyrics/evildead/wewillneverdie.htm
S-Mart	https://www.allmusicals.com/lyrics/evildead/smart.htm
Blew That Bitch Away	https://www.allmusicals.com/lyrics/evildead/blewthatbitchaway.htm
Groovy	https://www.allmusicals.com/lyrics/evildead/groovy.htm
