song-name	url
Cinema in Buenos Aires, 26 July 1952	https://www.allmusicals.com/lyrics/evita/cinemainbuenosaires26july1952.htm
Requiem for Evita / Oh What a Circus	https://www.allmusicals.com/lyrics/evita/requiemforevitaohwhatacircus.htm
Eva and Magaldi / Eva, Beware of the City	https://www.allmusicals.com/lyrics/evita/evaandmagaldievabewareofthecity.htm
On This Night of a Thousand Stars	https://www.allmusicals.com/lyrics/evita/onthisnightofathousandstars.htm
Buenos Aires	https://www.allmusicals.com/lyrics/evita/buenosaires.htm
Goodnight and Thank You	https://www.allmusicals.com/lyrics/evita/goodnightandthankyou.htm
The Lady's Got Potential	https://www.allmusicals.com/lyrics/evita/theladysgotpotential.htm
Art of the Possible	https://www.allmusicals.com/lyrics/evita/artofthepossible.htm
Charity Concert	https://www.allmusicals.com/lyrics/evita/charityconcert.htm
I'd Be Surprisingly Good For You	https://www.allmusicals.com/lyrics/evita/idbesurprisinglygoodforyou.htm
Hello and Goodbye	https://www.allmusicals.com/lyrics/evita/helloandgoodbye.htm
Another Suitcase in Another Hall	https://www.allmusicals.com/lyrics/evita/anothersuitcaseinanotherhall.htm
Peron's Latest Flame	https://www.allmusicals.com/lyrics/evita/peronslatestflame.htm
New Argentina	https://www.allmusicals.com/lyrics/evita/newargentina.htm
On the Balcony of the Casa Rosada	https://www.allmusicals.com/lyrics/evita/onthebalconyofthecasarosada.htm
Don't Cry for Me Argentina	https://www.allmusicals.com/lyrics/evita/dontcryformeargentina.htm
High Flying, Adored	https://www.allmusicals.com/lyrics/evita/highflyingadored.htm
Rainbow High	https://www.allmusicals.com/lyrics/evita/rainbowhigh.htm
Rainbow Tour	https://www.allmusicals.com/lyrics/evita/rainbowtour.htm
Actress Hasn't Learned the Lines	https://www.allmusicals.com/lyrics/evita/actresshasntlearnedthelines.htm
And the Money Kept Rolling In	https://www.allmusicals.com/lyrics/evita/andthemoneykeptrollingin.htm
Santa Evita	https://www.allmusicals.com/lyrics/evita/santaevita.htm
Waltz for Eva and Che	https://www.allmusicals.com/lyrics/evita/waltzforevaandche.htm
You Must Love Me	https://www.allmusicals.com/lyrics/evita/youmustloveme.htm
She Is a Diamond	https://www.allmusicals.com/lyrics/evita/sheisadiamond.htm
Dice Are Rolling	https://www.allmusicals.com/lyrics/evita/dicearerolling.htm
Eva's Final Broadcast	https://www.allmusicals.com/lyrics/evita/evasfinalbroadcast.htm
Latin Chant	https://www.allmusicals.com/lyrics/evita/latinchant.htm
Lament	https://www.allmusicals.com/lyrics/evita/lament.htm
