song-name	url
Falsettoland / About Time	https://www.allmusicals.com/lyrics/falsettoland/falsettolandabouttime.htm
Year of the Child	https://www.allmusicals.com/lyrics/falsettoland/yearofthechild.htm
Miracle of Judaism	https://www.allmusicals.com/lyrics/falsettoland/miracleofjudaism.htm
The Baseball Game	https://www.allmusicals.com/lyrics/falsettoland/thebaseballgame.htm
A Day in Falsettoland	https://www.allmusicals.com/lyrics/falsettoland/adayinfalsettoland.htm
Round Tables, Square Tables	https://www.allmusicals.com/lyrics/falsettoland/roundtablessquaretables.htm
Everyone Hates His Parents	https://www.allmusicals.com/lyrics/falsettoland/everyonehateshisparents.htm
What More Can I Say?	https://www.allmusicals.com/lyrics/falsettoland/whatmorecanisay.htm
Something Bad Is Happening / More Racquetball	https://www.allmusicals.com/lyrics/falsettoland/somethingbadishappeningmoreracquetball.htm
Holding to the Ground	https://www.allmusicals.com/lyrics/falsettoland/holdingtotheground.htm
Days Like This	https://www.allmusicals.com/lyrics/falsettoland/dayslikethis.htm
Unlikely Lovers	https://www.allmusicals.com/lyrics/falsettoland/unlikelylovers.htm
What Would I Do?	https://www.allmusicals.com/lyrics/falsettoland/whatwouldido.htm
