song-name	url
Four Jews in a Room Bitching	https://www.allmusicals.com/lyrics/falsettos/fourjewsinaroombitching.htm
A Tight Knit Family	https://www.allmusicals.com/lyrics/falsettos/atightknitfamily.htm
Love is Blind	https://www.allmusicals.com/lyrics/falsettos/loveisblind.htm
Thrill of First Love	https://www.allmusicals.com/lyrics/falsettos/thrilloffirstlove.htm
Marvin at the Psychiatrist (A Three-Part Mini-Opera)	https://www.allmusicals.com/lyrics/falsettos/marvinatthepsychiatristathreepartminiopera.htm
Everyone Tells Jason to See a Psychiatrist	https://www.allmusicals.com/lyrics/falsettos/everyonetellsjasontoseeapsychiatrist.htm
This Had Better Come to a Stop	https://www.allmusicals.com/lyrics/falsettos/thishadbettercometoastop.htm
I'm Breaking Down	https://www.allmusicals.com/lyrics/falsettos/imbreakingdown.htm
Jason's Therapy	https://www.allmusicals.com/lyrics/falsettos/jasonstherapy.htm
A Marriage Proposal	https://www.allmusicals.com/lyrics/falsettos/amarriageproposal.htm
Trina's Song	https://www.allmusicals.com/lyrics/falsettos/trinassong.htm
March of the Falsettos	https://www.allmusicals.com/lyrics/falsettos/marchofthefalsettos.htm
Trina's Song (Reprise)	https://www.allmusicals.com/lyrics/falsettos/trinassongreprise.htm
The Chess Game	https://www.allmusicals.com/lyrics/falsettos/thechessgame.htm
Making a Home	https://www.allmusicals.com/lyrics/falsettos/makingahome.htm
The Games I Play	https://www.allmusicals.com/lyrics/falsettos/thegamesiplay.htm
Marvin Goes Crazy	https://www.allmusicals.com/lyrics/falsettos/marvingoescrazy.htm
I Never Wanted to Love You	https://www.allmusicals.com/lyrics/falsettos/ineverwantedtoloveyou.htm
Father to Son	https://www.allmusicals.com/lyrics/falsettos/fathertoson.htm
Welcome to Falsettoland	https://www.allmusicals.com/lyrics/falsettos/welcometofalsettoland.htm
The Year of the Child	https://www.allmusicals.com/lyrics/falsettos/theyearofthechild.htm
Miracle of Judaism	https://www.allmusicals.com/lyrics/falsettos/miracleofjudaism.htm
The Baseball Game	https://www.allmusicals.com/lyrics/falsettos/thebaseballgame.htm
A Day in Falsettoland	https://www.allmusicals.com/lyrics/falsettos/adayinfalsettoland.htm
The Fight/Everyone Hates His Parents	https://www.allmusicals.com/lyrics/falsettos/thefighteveryonehateshisparents.htm
What More Can I Say	https://www.allmusicals.com/lyrics/falsettos/whatmorecanisay.htm
Something Bad Is Happening	https://www.allmusicals.com/lyrics/falsettos/somethingbadishappening.htm
Holding to the Ground	https://www.allmusicals.com/lyrics/falsettos/holdingtotheground.htm
Days Like This	https://www.allmusicals.com/lyrics/falsettos/dayslikethis.htm
Cancelling the Bar Mitzvah	https://www.allmusicals.com/lyrics/falsettos/cancellingthebarmitzvah.htm
Unlikely Lovers	https://www.allmusicals.com/lyrics/falsettos/unlikelylovers.htm
Another Miracle of Judaism	https://www.allmusicals.com/lyrics/falsettos/anothermiracleofjudaism.htm
You Gotta Die Sometime	https://www.allmusicals.com/lyrics/falsettos/yougottadiesometime.htm
Jason's Bar Mitzvah	https://www.allmusicals.com/lyrics/falsettos/jasonsbarmitzvah.htm
What Would I Do?	https://www.allmusicals.com/lyrics/falsettos/whatwouldido.htm
