song-name	url
Pray I Make P.A.	https://www.allmusicals.com/lyrics/fame/prayimakepa.htm
Hard Work	https://www.allmusicals.com/lyrics/fame/hardwork.htm
I Want to Make Magic	https://www.allmusicals.com/lyrics/fame/iwanttomakemagic.htm
Can't Keep It Down	https://www.allmusicals.com/lyrics/fame/cantkeepitdown.htm
Tyrone's Rap	https://www.allmusicals.com/lyrics/fame/tyronesrap.htm
There She Goes! /Fame	https://www.allmusicals.com/lyrics/fame/thereshegoesfame.htm
Let's Play a Love Scene	https://www.allmusicals.com/lyrics/fame/letsplayalovescene.htm
Bring on Tomorrow	https://www.allmusicals.com/lyrics/fame/bringontomorrow.htm
Teacher's Argument	https://www.allmusicals.com/lyrics/fame/teachersargument.htm
Hard Work (Reprise)	https://www.allmusicals.com/lyrics/fame/hardworkreprise.htm
I Want to Make Magic (Reprise)	https://www.allmusicals.com/lyrics/fame/iwanttomakemagicreprise.htm
Mabel's Prayer	https://www.allmusicals.com/lyrics/fame/mabelsprayer.htm
Think of Meryl Streep	https://www.allmusicals.com/lyrics/fame/thinkofmerylstreep.htm
Dancin' on the Sidewalk	https://www.allmusicals.com/lyrics/fame/dancinonthesidewalk.htm
These Are My Children	https://www.allmusicals.com/lyrics/fame/thesearemychildren.htm
In L.A.	https://www.allmusicals.com/lyrics/fame/inla.htm
Let's Play a Love Scene (Reprise)	https://www.allmusicals.com/lyrics/fame/letsplayalovescenereprise.htm
Bring on Tomorrow (Reprise)	https://www.allmusicals.com/lyrics/fame/bringontomorrowreprise.htm
Curtain Calls: Hard Work / Fame	https://www.allmusicals.com/lyrics/fame/curtaincallshardworkfame.htm
