song-name	url
Overture	https://www.allmusicals.com/lyrics/fantasticksthe/overture.htm
Try To Remember	https://www.allmusicals.com/lyrics/fantasticksthe/trytoremember.htm
Much More	https://www.allmusicals.com/lyrics/fantasticksthe/muchmore.htm
Metaphor	https://www.allmusicals.com/lyrics/fantasticksthe/metaphor.htm
Never Say No	https://www.allmusicals.com/lyrics/fantasticksthe/neversayno.htm
It Depends On What You Pay	https://www.allmusicals.com/lyrics/fantasticksthe/itdependsonwhatyoupay.htm
Soon It's Gonna Rain	https://www.allmusicals.com/lyrics/fantasticksthe/soonitsgonnarain.htm
Happy Ending	https://www.allmusicals.com/lyrics/fantasticksthe/happyending.htm
This Plum Is Too Ripe	https://www.allmusicals.com/lyrics/fantasticksthe/thisplumistooripe.htm
I Can See It	https://www.allmusicals.com/lyrics/fantasticksthe/icanseeit.htm
Plant A Radish	https://www.allmusicals.com/lyrics/fantasticksthe/plantaradish.htm
Round And Round	https://www.allmusicals.com/lyrics/fantasticksthe/roundandround.htm
They Were You	https://www.allmusicals.com/lyrics/fantasticksthe/theywereyou.htm
Try To Remember (Reprise)	https://www.allmusicals.com/lyrics/fantasticksthe/trytorememberreprise.htm
