song-name	url
Overture	https://www.allmusicals.com/lyrics/fiddlerontheroof/overture.htm
Tradition	https://www.allmusicals.com/lyrics/fiddlerontheroof/tradition.htm
Matchmaker	https://www.allmusicals.com/lyrics/fiddlerontheroof/matchmaker.htm
If I Were a Rich Man	https://www.allmusicals.com/lyrics/fiddlerontheroof/ifiwerearichman.htm
Sabbath Prayer	https://www.allmusicals.com/lyrics/fiddlerontheroof/sabbathprayer.htm
To Life	https://www.allmusicals.com/lyrics/fiddlerontheroof/tolife.htm
Tevye's Monologue	https://www.allmusicals.com/lyrics/fiddlerontheroof/tevyesmonologue.htm
Miracle of Miracles	https://www.allmusicals.com/lyrics/fiddlerontheroof/miracleofmiracles.htm
Dream	https://www.allmusicals.com/lyrics/fiddlerontheroof/dream.htm
Sunrise, Sunset	https://www.allmusicals.com/lyrics/fiddlerontheroof/sunrisesunset.htm
Bottle Dance	https://www.allmusicals.com/lyrics/fiddlerontheroof/bottledance.htm
Entr'acte	https://www.allmusicals.com/lyrics/fiddlerontheroof/entracte.htm
Now I Have Everything	https://www.allmusicals.com/lyrics/fiddlerontheroof/nowihaveeverything.htm
Do You Love Me?	https://www.allmusicals.com/lyrics/fiddlerontheroof/doyouloveme.htm
The Rumor	https://www.allmusicals.com/lyrics/fiddlerontheroof/therumor.htm
Far from the Home I Love	https://www.allmusicals.com/lyrics/fiddlerontheroof/farfromthehomeilove.htm
Anatevka	https://www.allmusicals.com/lyrics/fiddlerontheroof/anatevka.htm
