song-name	url
Overture	https://www.allmusicals.com/lyrics/finiansrainbow/overture.htm
This Time Of The Year	https://www.allmusicals.com/lyrics/finiansrainbow/thistimeoftheyear.htm
How Are Things In Glocca Morra?	https://www.allmusicals.com/lyrics/finiansrainbow/howarethingsingloccamorra.htm
Look To The Rainbow	https://www.allmusicals.com/lyrics/finiansrainbow/looktotherainbow.htm
Old Devil Moon	https://www.allmusicals.com/lyrics/finiansrainbow/olddevilmoon.htm
Something Sort Of Grandish	https://www.allmusicals.com/lyrics/finiansrainbow/somethingsortofgrandish.htm
If This Isn't Love	https://www.allmusicals.com/lyrics/finiansrainbow/ifthisisntlove.htm
Something Sort Of Grandish (Reprise)	https://www.allmusicals.com/lyrics/finiansrainbow/somethingsortofgrandishreprise.htm
Necessity	https://www.allmusicals.com/lyrics/finiansrainbow/necessity.htm
That Great Come-And-Get-It Day	https://www.allmusicals.com/lyrics/finiansrainbow/thatgreatcomeandgetitday.htm
When The Idle Poor Become The Idle Rich	https://www.allmusicals.com/lyrics/finiansrainbow/whentheidlepoorbecometheidlerich.htm
The Begat	https://www.allmusicals.com/lyrics/finiansrainbow/thebegat.htm
When I'm Not Near The Girl I Love	https://www.allmusicals.com/lyrics/finiansrainbow/whenimnotnearthegirlilove.htm
Finale: That Great Come-And-Get-It Day	https://www.allmusicals.com/lyrics/finiansrainbow/finalethatgreatcomeandgetitday.htm
