song-name	url
Overture	https://www.allmusicals.com/lyrics/fiorello/overture.htm
On The Side Of The Angels	https://www.allmusicals.com/lyrics/fiorello/onthesideoftheangels.htm
Politics And Poker	https://www.allmusicals.com/lyrics/fiorello/politicsandpoker.htm
Unfair	https://www.allmusicals.com/lyrics/fiorello/unfair.htm
Marie's Law	https://www.allmusicals.com/lyrics/fiorello/marieslaw.htm
The Bum Won	https://www.allmusicals.com/lyrics/fiorello/thebumwon.htm
I Love A Cop	https://www.allmusicals.com/lyrics/fiorello/iloveacop.htm
Till Tomorrow	https://www.allmusicals.com/lyrics/fiorello/tilltomorrow.htm
When Did I Fall In Love	https://www.allmusicals.com/lyrics/fiorello/whendidifallinlove.htm
Home Again / Gentleman Jimmy	https://www.allmusicals.com/lyrics/fiorello/homeagaingentlemanjimmy.htm
Little Tin Box	https://www.allmusicals.com/lyrics/fiorello/littletinbox.htm
The Very Next Man	https://www.allmusicals.com/lyrics/fiorello/theverynextman.htm
