song-name	url
Early In The Mornin'	https://www.allmusicals.com/lyrics/fiveguysnamedmoe/earlyinthemornin.htm
Five Guys Named Moe	https://www.allmusicals.com/lyrics/fiveguysnamedmoe/fiveguysnamedmoe.htm
Beware, Bother, Beware	https://www.allmusicals.com/lyrics/fiveguysnamedmoe/bewarebotherbeware.htm
I Like 'Em Fat Like That	https://www.allmusicals.com/lyrics/fiveguysnamedmoe/ilikeemfatlikethat.htm
Messy Bessy	https://www.allmusicals.com/lyrics/fiveguysnamedmoe/messybessy.htm
Pettin' And Pokin'	https://www.allmusicals.com/lyrics/fiveguysnamedmoe/pettinandpokin.htm
Life Is So Peculiar	https://www.allmusicals.com/lyrics/fiveguysnamedmoe/lifeissopeculiar.htm
I Know What I've Got	https://www.allmusicals.com/lyrics/fiveguysnamedmoe/iknowwhativegot.htm
Azure Te	https://www.allmusicals.com/lyrics/fiveguysnamedmoe/azurete.htm
Safe, Sane And Single	https://www.allmusicals.com/lyrics/fiveguysnamedmoe/safesaneandsingle.htm
Push Ka Pi Shi Pie	https://www.allmusicals.com/lyrics/fiveguysnamedmoe/pushkapishipie.htm
Saturday Night Fish Fry	https://www.allmusicals.com/lyrics/fiveguysnamedmoe/saturdaynightfishfry.htm
What's The Use Of Gettin' Sober	https://www.allmusicals.com/lyrics/fiveguysnamedmoe/whatstheuseofgettinsober.htm
If I Had Any Sense	https://www.allmusicals.com/lyrics/fiveguysnamedmoe/ifihadanysense.htm
Dad Gum Ya Hide Boy	https://www.allmusicals.com/lyrics/fiveguysnamedmoe/dadgumyahideboy.htm
The Cabaret: Five Guys Named Moe / Let The Good Times Roll / Reet, Petite And Gone	https://www.allmusicals.com/lyrics/fiveguysnamedmoe/thecabaretfiveguysnamedmoeletthegoodtimesrollreetpetiteandgone.htm
The Cabaret: Caldonia	https://www.allmusicals.com/lyrics/fiveguysnamedmoe/thecabaretcaldonia.htm
Ain't Nobody Here But Us Chickens	https://www.allmusicals.com/lyrics/fiveguysnamedmoe/aintnobodyherebutuschickens.htm
Don't Let The Sun Catch You Crying	https://www.allmusicals.com/lyrics/fiveguysnamedmoe/dontletthesuncatchyoucrying.htm
Look Out	https://www.allmusicals.com/lyrics/fiveguysnamedmoe/lookout.htm
Choo Choo Ch'Boogie	https://www.allmusicals.com/lyrics/fiveguysnamedmoe/choochoochboogie.htm
Medley: Hurry Home	https://www.allmusicals.com/lyrics/fiveguysnamedmoe/medleyhurryhome.htm
Five Guys Named Moe	https://www.allmusicals.com/lyrics/fiveguysnamedmoe/fiveguysnamedmoe.htm
Band Play Out	https://www.allmusicals.com/lyrics/fiveguysnamedmoe/bandplayout.htm
