song-name	url
Overture	https://www.allmusicals.com/lyrics/flowerdrumsong/overture.htm
You Are Beautiful	https://www.allmusicals.com/lyrics/flowerdrumsong/youarebeautiful.htm
A Hundred Million Miracles	https://www.allmusicals.com/lyrics/flowerdrumsong/ahundredmillionmiracles.htm
I Enjoy Being a Girl	https://www.allmusicals.com/lyrics/flowerdrumsong/ienjoybeingagirl.htm
I Am Going to Like It Here	https://www.allmusicals.com/lyrics/flowerdrumsong/iamgoingtolikeithere.htm
Like a God	https://www.allmusicals.com/lyrics/flowerdrumsong/likeagod.htm
Chop Suey	https://www.allmusicals.com/lyrics/flowerdrumsong/chopsuey.htm
Don't Marry Me	https://www.allmusicals.com/lyrics/flowerdrumsong/dontmarryme.htm
Grant Avenue	https://www.allmusicals.com/lyrics/flowerdrumsong/grantavenue.htm
Love, Look Away	https://www.allmusicals.com/lyrics/flowerdrumsong/lovelookaway.htm
Fan Tan Fannie	https://www.allmusicals.com/lyrics/flowerdrumsong/fantanfannie.htm
Gliding Through My Memory	https://www.allmusicals.com/lyrics/flowerdrumsong/glidingthroughmymemory.htm
The Other Generation	https://www.allmusicals.com/lyrics/flowerdrumsong/theothergeneration.htm
Sunday	https://www.allmusicals.com/lyrics/flowerdrumsong/sunday.htm
Wedding Parade/Finale	https://www.allmusicals.com/lyrics/flowerdrumsong/weddingparadefinale.htm
