song-name	url
The Ballad of Floyd Collins	https://www.allmusicals.com/lyrics/floydcollins/theballadoffloydcollins.htm
The Call	https://www.allmusicals.com/lyrics/floydcollins/thecall.htm
It Moves	https://www.allmusicals.com/lyrics/floydcollins/itmoves.htm
Time to Go	https://www.allmusicals.com/lyrics/floydcollins/timetogo.htm
Lucky	https://www.allmusicals.com/lyrics/floydcollins/lucky.htm
Daybreak	https://www.allmusicals.com/lyrics/floydcollins/daybreak.htm
I Landed on Him	https://www.allmusicals.com/lyrics/floydcollins/ilandedonhim.htm
Heart An' Hand	https://www.allmusicals.com/lyrics/floydcollins/heartanhand.htm
Riddle Song	https://www.allmusicals.com/lyrics/floydcollins/riddlesong.htm
Is That Remarkable?	https://www.allmusicals.com/lyrics/floydcollins/isthatremarkable.htm
Carnival	https://www.allmusicals.com/lyrics/floydcollins/carnival.htm
Through the Mountain	https://www.allmusicals.com/lyrics/floydcollins/throughthemountain.htm
Git Comfortable	https://www.allmusicals.com/lyrics/floydcollins/gitcomfortable.htm
