song-name	url
Footloose/On Any Sunday	https://www.allmusicals.com/lyrics/footloose/footlooseonanysunday.htm
Girl Gets Around	https://www.allmusicals.com/lyrics/footloose/girlgetsaround.htm
I Can't Stand Still	https://www.allmusicals.com/lyrics/footloose/icantstandstill.htm
Somebody's Eyes	https://www.allmusicals.com/lyrics/footloose/somebodyseyes.htm
Learning to Be Silent	https://www.allmusicals.com/lyrics/footloose/learningtobesilent.htm
Holding on for a Hero	https://www.allmusicals.com/lyrics/footloose/holdingonforahero.htm
Heaven Help Me	https://www.allmusicals.com/lyrics/footloose/heavenhelpme.htm
I'm Free/Heaven Help Me	https://www.allmusicals.com/lyrics/footloose/imfreeheavenhelpme.htm
Let's Make Believe We're in Love	https://www.allmusicals.com/lyrics/footloose/letsmakebelievewereinlove.htm
Let's Hear It for the Boy	https://www.allmusicals.com/lyrics/footloose/letshearitfortheboy.htm
Can You Find It in Your Heart?	https://www.allmusicals.com/lyrics/footloose/canyoufinditinyourheart.htm
Mama Says (You Can't Back Down)	https://www.allmusicals.com/lyrics/footloose/mamasaysyoucantbackdown.htm
Almost Paradise	https://www.allmusicals.com/lyrics/footloose/almostparadise.htm
Dancing Is Not a Crime	https://www.allmusicals.com/lyrics/footloose/dancingisnotacrime.htm
I Confess	https://www.allmusicals.com/lyrics/footloose/iconfess.htm
Can You Find It in Your Heart? (Reprise)	https://www.allmusicals.com/lyrics/footloose/canyoufinditinyourheartreprise.htm
Footloose (Finale)	https://www.allmusicals.com/lyrics/footloose/footloosefinale.htm
