song-name	url
Life Is Just A Bowl Of Cherries	https://www.allmusicals.com/lyrics/fosse/lifeisjustabowlofcherries.htm
Fosse's World	https://www.allmusicals.com/lyrics/fosse/fossesworld.htm
Bye Bye Blackbird	https://www.allmusicals.com/lyrics/fosse/byebyeblackbird.htm
From the Edge	https://www.allmusicals.com/lyrics/fosse/fromtheedge.htm
Percussion 4	https://www.allmusicals.com/lyrics/fosse/percussion4.htm
Big Spender	https://www.allmusicals.com/lyrics/fosse/bigspender.htm
Crunchy Granola	https://www.allmusicals.com/lyrics/fosse/crunchygranola.htm
From This Moment On	https://www.allmusicals.com/lyrics/fosse/fromthismomenton.htm
Dancin' Man	https://www.allmusicals.com/lyrics/fosse/dancinman.htm
Shoeless Joe Ballet	https://www.allmusicals.com/lyrics/fosse/shoelessjoeballet.htm
Steam Heat	https://www.allmusicals.com/lyrics/fosse/steamheat.htm
I Gotcha	https://www.allmusicals.com/lyrics/fosse/igotcha.htm
Rich Man's Frug	https://www.allmusicals.com/lyrics/fosse/richmansfrug.htm
Silky Thoughts/Cool Hand Luke	https://www.allmusicals.com/lyrics/fosse/silkythoughtscoolhandluke.htm
Dancin' Dan (Me and My Shadow)	https://www.allmusicals.com/lyrics/fosse/dancindanmeandmyshadow.htm
Nowadays/The Hot Honey Rag	https://www.allmusicals.com/lyrics/fosse/nowadaysthehothoneyrag.htm
Glory	https://www.allmusicals.com/lyrics/fosse/glory.htm
Manson Trio	https://www.allmusicals.com/lyrics/fosse/mansontrio.htm
Take Off With Us	https://www.allmusicals.com/lyrics/fosse/takeoffwithus.htm
Razzle Dazzle	https://www.allmusicals.com/lyrics/fosse/razzledazzle.htm
Who's Sorry Now?	https://www.allmusicals.com/lyrics/fosse/whossorrynow.htm
There'll Be Some Changes Made	https://www.allmusicals.com/lyrics/fosse/therellbesomechangesmade.htm
Mr. Bojangles	https://www.allmusicals.com/lyrics/fosse/mrbojangles.htm
Life Is Just A Bowl Of Cherries - Reprise	https://www.allmusicals.com/lyrics/fosse/lifeisjustabowlofcherriesreprise.htm
Sing, Sing, Sing	https://www.allmusicals.com/lyrics/fosse/singsingsing.htm
Beat Me Daddy, Eight to the Bar	https://www.allmusicals.com/lyrics/fosse/beatmedaddyeighttothebar.htm
