song-name	url
Opening Fanfare	https://www.allmusicals.com/lyrics/frogsthe/openingfanfare.htm
Invocation and Instructions to the Audience	https://www.allmusicals.com/lyrics/frogsthe/invocationandinstructionstotheaudience.htm
We Are Off On a Great Mission	https://www.allmusicals.com/lyrics/frogsthe/weareoffonagreatmission.htm
I Love to Travel	https://www.allmusicals.com/lyrics/frogsthe/ilovetotravel.htm
Dress Big	https://www.allmusicals.com/lyrics/frogsthe/dressbig.htm
I Love to Travel (reprise)	https://www.allmusicals.com/lyrics/frogsthe/ilovetotravelreprise.htm
All Aboard	https://www.allmusicals.com/lyrics/frogsthe/allaboard.htm
On the River Styx	https://www.allmusicals.com/lyrics/frogsthe/ontheriverstyx.htm
Ariadne	https://www.allmusicals.com/lyrics/frogsthe/ariadne.htm
The Frogs	https://www.allmusicals.com/lyrics/frogsthe/thefrogs.htm
Hymn to Dionysos	https://www.allmusicals.com/lyrics/frogsthe/hymntodionysos.htm
Hades	https://www.allmusicals.com/lyrics/frogsthe/hades.htm
It's Only a Play	https://www.allmusicals.com/lyrics/frogsthe/itsonlyaplay.htm
Shaw	https://www.allmusicals.com/lyrics/frogsthe/shaw.htm
The Contest	https://www.allmusicals.com/lyrics/frogsthe/thecontest.htm
Fear No More	https://www.allmusicals.com/lyrics/frogsthe/fearnomore.htm
All Aboard (reprise)	https://www.allmusicals.com/lyrics/frogsthe/allaboardreprise.htm
Hymn to Dionysos (reprise)	https://www.allmusicals.com/lyrics/frogsthe/hymntodionysosreprise.htm
Final Instructions to the Audience	https://www.allmusicals.com/lyrics/frogsthe/finalinstructionstotheaudience.htm
