song-name	url
Vuelie/ Let the Sun Shine On	https://www.allmusicals.com/lyrics/frozen/vuelieletthesunshineon.htm
A Little Bit of Yo	https://www.allmusicals.com/lyrics/frozen/alittlebitofyo.htm
Do You Want to Build a Snowman?	https://www.allmusicals.com/lyrics/frozen/doyouwanttobuildasnowman.htm
For the First Time in Forever	https://www.allmusicals.com/lyrics/frozen/forthefirsttimeinforever.htm
Hans of the Southern Isles	https://www.allmusicals.com/lyrics/frozen/hansofthesouthernisles.htm
Dangerous to Dream	https://www.allmusicals.com/lyrics/frozen/dangeroustodream.htm
Love Is an Open Door	https://www.allmusicals.com/lyrics/frozen/loveisanopendoor.htm
Reindeer(s) Are Better Than People	https://www.allmusicals.com/lyrics/frozen/reindeersarebetterthanpeople.htm
What Do You Know About Love	https://www.allmusicals.com/lyrics/frozen/whatdoyouknowaboutlove.htm
In Summer	https://www.allmusicals.com/lyrics/frozen/insummer.htm
Hans of the Southern Isles (reprise)	https://www.allmusicals.com/lyrics/frozen/hansofthesouthernislesreprise.htm
Let It Go	https://www.allmusicals.com/lyrics/frozen/letitgo.htm
Hygge	https://www.allmusicals.com/lyrics/frozen/hygge.htm
For the First Time in Forever (reprise)	https://www.allmusicals.com/lyrics/frozen/forthefirsttimeinforeverreprise.htm
Fixer Upper	https://www.allmusicals.com/lyrics/frozen/fixerupper.htm
Kristoff Lullaby	https://www.allmusicals.com/lyrics/frozen/kristofflullaby.htm
Monster	https://www.allmusicals.com/lyrics/frozen/monster.htm
True Love	https://www.allmusicals.com/lyrics/frozen/truelove.htm
Colder by the Minute	https://www.allmusicals.com/lyrics/frozen/colderbytheminute.htm
Finale	https://www.allmusicals.com/lyrics/frozen/finale.htm
When Everything Falls Apart	https://www.allmusicals.com/lyrics/frozen/wheneverythingfallsapart.htm
