song-name	url
It All Comes Back (Opening)	https://www.allmusicals.com/lyrics/funhome/itallcomesbackopening.htm
Welcome to Our House on Maple Avenue	https://www.allmusicals.com/lyrics/funhome/welcometoourhouseonmapleavenue.htm
Not Too Bad	https://www.allmusicals.com/lyrics/funhome/nottoobad.htm
Come To The Fun Home	https://www.allmusicals.com/lyrics/funhome/cometothefunhome.htm
Al for Short	https://www.allmusicals.com/lyrics/funhome/alforshort.htm
Changing My Major	https://www.allmusicals.com/lyrics/funhome/changingmymajor.htm
Maps	https://www.allmusicals.com/lyrics/funhome/maps.htm
Raincoat of Love	https://www.allmusicals.com/lyrics/funhome/raincoatoflove.htm
Ring of Keys	https://www.allmusicals.com/lyrics/funhome/ringofkeys.htm
Days and Days	https://www.allmusicals.com/lyrics/funhome/daysanddays.htm
Telephone Wire	https://www.allmusicals.com/lyrics/funhome/telephonewire.htm
Edges of the World	https://www.allmusicals.com/lyrics/funhome/edgesoftheworld.htm
Flying Away (Finale)	https://www.allmusicals.com/lyrics/funhome/flyingawayfinale.htm
