song-name	url
Overture	https://www.allmusicals.com/lyrics/funnygirl/overture.htm
If A Girl Isn't Pretty	https://www.allmusicals.com/lyrics/funnygirl/ifagirlisntpretty.htm
I'm The Greatest Star	https://www.allmusicals.com/lyrics/funnygirl/imthegreateststar.htm
Cornet Man	https://www.allmusicals.com/lyrics/funnygirl/cornetman.htm
Who Taught Her Everything	https://www.allmusicals.com/lyrics/funnygirl/whotaughthereverything.htm
His Love Makes Me Beautiful	https://www.allmusicals.com/lyrics/funnygirl/hislovemakesmebeautiful.htm
I Want To Be Seen With You Tonight	https://www.allmusicals.com/lyrics/funnygirl/iwanttobeseenwithyoutonight.htm
Henry Street	https://www.allmusicals.com/lyrics/funnygirl/henrystreet.htm
People	https://www.allmusicals.com/lyrics/funnygirl/people.htm
You Are Woman	https://www.allmusicals.com/lyrics/funnygirl/youarewoman.htm
Don't Rain On My Parade	https://www.allmusicals.com/lyrics/funnygirl/dontrainonmyparade.htm
Sadie, Sadie	https://www.allmusicals.com/lyrics/funnygirl/sadiesadie.htm
Find Yourself A Man	https://www.allmusicals.com/lyrics/funnygirl/findyourselfaman.htm
Rat-tat-tat-tat	https://www.allmusicals.com/lyrics/funnygirl/rattattattat.htm
Who Are You Now?	https://www.allmusicals.com/lyrics/funnygirl/whoareyounow.htm
The Music That Makes Me Dance	https://www.allmusicals.com/lyrics/funnygirl/themusicthatmakesmedance.htm
Don't Rain On My Parade (Reprise)	https://www.allmusicals.com/lyrics/funnygirl/dontrainonmyparadereprise.htm
