song-name	url
Overture/Comedy Tonight	https://www.allmusicals.com/lyrics/funnythinghappenedonthewaytotheforuma/overturecomedytonight.htm
Love, I Hear	https://www.allmusicals.com/lyrics/funnythinghappenedonthewaytotheforuma/loveihear.htm
Free	https://www.allmusicals.com/lyrics/funnythinghappenedonthewaytotheforuma/free.htm
The House of Marcus Lycus	https://www.allmusicals.com/lyrics/funnythinghappenedonthewaytotheforuma/thehouseofmarcuslycus.htm
Lovely	https://www.allmusicals.com/lyrics/funnythinghappenedonthewaytotheforuma/lovely.htm
Pretty Little Picture	https://www.allmusicals.com/lyrics/funnythinghappenedonthewaytotheforuma/prettylittlepicture.htm
Everybody Ought To Have A Maid	https://www.allmusicals.com/lyrics/funnythinghappenedonthewaytotheforuma/everybodyoughttohaveamaid.htm
I'm Calm	https://www.allmusicals.com/lyrics/funnythinghappenedonthewaytotheforuma/imcalm.htm
Impossible	https://www.allmusicals.com/lyrics/funnythinghappenedonthewaytotheforuma/impossible.htm
Bring Me My Bride	https://www.allmusicals.com/lyrics/funnythinghappenedonthewaytotheforuma/bringmemybride.htm
That Dirty Old Man	https://www.allmusicals.com/lyrics/funnythinghappenedonthewaytotheforuma/thatdirtyoldman.htm
That'll Show Him	https://www.allmusicals.com/lyrics/funnythinghappenedonthewaytotheforuma/thatllshowhim.htm
Lovely (Reprise)	https://www.allmusicals.com/lyrics/funnythinghappenedonthewaytotheforuma/lovelyreprise.htm
Funeral Sequence	https://www.allmusicals.com/lyrics/funnythinghappenedonthewaytotheforuma/funeralsequence.htm
Finale	https://www.allmusicals.com/lyrics/funnythinghappenedonthewaytotheforuma/finale.htm
