song-name	url
Overture	https://www.allmusicals.com/lyrics/gentlemenpreferblondes/overture.htm
It's High Time	https://www.allmusicals.com/lyrics/gentlemenpreferblondes/itshightime.htm
Bye Bye Baby	https://www.allmusicals.com/lyrics/gentlemenpreferblondes/byebyebaby.htm
A Little Girl From Little Rock	https://www.allmusicals.com/lyrics/gentlemenpreferblondes/alittlegirlfromlittlerock.htm
I Love What I'm Doing	https://www.allmusicals.com/lyrics/gentlemenpreferblondes/ilovewhatimdoing.htm
Just A Kiss Apart	https://www.allmusicals.com/lyrics/gentlemenpreferblondes/justakissapart.htm
The Practice Scherzo	https://www.allmusicals.com/lyrics/gentlemenpreferblondes/thepracticescherzo.htm
It's Delightful Down In Chile	https://www.allmusicals.com/lyrics/gentlemenpreferblondes/itsdelightfuldowninchile.htm
Sunshine	https://www.allmusicals.com/lyrics/gentlemenpreferblondes/sunshine.htm
I'm A 'Tingle, I'm A 'Glow	https://www.allmusicals.com/lyrics/gentlemenpreferblondes/imatingleimaglow.htm
You Say You Care	https://www.allmusicals.com/lyrics/gentlemenpreferblondes/yousayyoucare.htm
Mamie Is Mimi	https://www.allmusicals.com/lyrics/gentlemenpreferblondes/mamieismimi.htm
Diamonds Are A Girl's Best Friend	https://www.allmusicals.com/lyrics/gentlemenpreferblondes/diamondsareagirlsbestfriend.htm
Gentlemen Prefer Blondes	https://www.allmusicals.com/lyrics/gentlemenpreferblondes/gentlemenpreferblondes.htm
Homesick Blues	https://www.allmusicals.com/lyrics/gentlemenpreferblondes/homesickblues.htm
Keeping Cool With Coolidge	https://www.allmusicals.com/lyrics/gentlemenpreferblondes/keepingcoolwithcoolidge.htm
