song-name	url
I Was Born in Virginia	https://www.allmusicals.com/lyrics/georgem/iwasborninvirginia.htm
Ring To The Name Of Rose	https://www.allmusicals.com/lyrics/georgem/ringtothenameofrose.htm
Popularity	https://www.allmusicals.com/lyrics/georgem/popularity.htm
Give My Regards To Broadway	https://www.allmusicals.com/lyrics/georgem/givemyregardstobroadway.htm
Forty-Five Minutes From Broadway	https://www.allmusicals.com/lyrics/georgem/fortyfiveminutesfrombroadway.htm
So Long, Mary	https://www.allmusicals.com/lyrics/georgem/solongmary.htm
Down By The Erie	https://www.allmusicals.com/lyrics/georgem/downbytheerie.htm
Mary	https://www.allmusicals.com/lyrics/georgem/mary.htm
Yankee Doodle Dandy	https://www.allmusicals.com/lyrics/georgem/yankeedoodledandy.htm
Nellie Kelly I Love You	https://www.allmusicals.com/lyrics/georgem/nelliekellyiloveyou.htm
Harrigan	https://www.allmusicals.com/lyrics/georgem/harrigan.htm
Over There	https://www.allmusicals.com/lyrics/georgem/overthere.htm
You're A Grand Old Flag	https://www.allmusicals.com/lyrics/georgem/youreagrandoldflag.htm
