song-name	url
Overture	https://www.allmusicals.com/lyrics/ghostthemusical/overture.htm
Here Right Now	https://www.allmusicals.com/lyrics/ghostthemusical/hererightnow.htm
Unchained Melody	https://www.allmusicals.com/lyrics/ghostthemusical/unchainedmelody.htm
More	https://www.allmusicals.com/lyrics/ghostthemusical/more.htm
Three Little Words	https://www.allmusicals.com/lyrics/ghostthemusical/threelittlewords.htm
Sam's Murder	https://www.allmusicals.com/lyrics/ghostthemusical/samsmurder.htm
Ball of Wax	https://www.allmusicals.com/lyrics/ghostthemusical/ballofwax.htm
I Can't Breathe	https://www.allmusicals.com/lyrics/ghostthemusical/icantbreathe.htm
Are You a Believer?	https://www.allmusicals.com/lyrics/ghostthemusical/areyouabeliever.htm
With You	https://www.allmusicals.com/lyrics/ghostthemusical/withyou.htm
Suspend My Disbelief / I Had a Life	https://www.allmusicals.com/lyrics/ghostthemusical/suspendmydisbeliefihadalife.htm
Rain / Hold On	https://www.allmusicals.com/lyrics/ghostthemusical/rainholdon.htm
Life Turns On a Dime	https://www.allmusicals.com/lyrics/ghostthemusical/lifeturnsonadime.htm
Focus	https://www.allmusicals.com/lyrics/ghostthemusical/focus.htm
Talkin' 'Bout a Miracle	https://www.allmusicals.com/lyrics/ghostthemusical/talkinboutamiracle.htm
Nothing Stops Another Day	https://www.allmusicals.com/lyrics/ghostthemusical/nothingstopsanotherday.htm
I'm Outta Here	https://www.allmusicals.com/lyrics/ghostthemusical/imouttahere.htm
Unchained Melody / The Love Inside	https://www.allmusicals.com/lyrics/ghostthemusical/unchainedmelodytheloveinside.htm
