song-name	url
Overture	https://www.allmusicals.com/lyrics/gigi/overture.htm
Thank Heaven for Little Girls	https://www.allmusicals.com/lyrics/gigi/thankheavenforlittlegirls.htm
It's a Bore!	https://www.allmusicals.com/lyrics/gigi/itsabore.htm
The Earth and Other Minor Things	https://www.allmusicals.com/lyrics/gigi/theearthandotherminorthings.htm
She Is Not Thinking of Me	https://www.allmusicals.com/lyrics/gigi/sheisnotthinkingofme.htm
The Night They Invented Champagne	https://www.allmusicals.com/lyrics/gigi/thenighttheyinventedchampagne.htm
I Remember It Well	https://www.allmusicals.com/lyrics/gigi/irememberitwell.htm
Gigi	https://www.allmusicals.com/lyrics/gigi/gigi.htm
I'm Glad I'm Not Young Anymore	https://www.allmusicals.com/lyrics/gigi/imgladimnotyounganymore.htm
Finale/Thank Heaven For Little Girls (Reprise)	https://www.allmusicals.com/lyrics/gigi/finalethankheavenforlittlegirlsreprise.htm
