song-name	url
Sign On the Window	https://www.allmusicals.com/lyrics/girlfromthenorthcountry/signonthewindow.htm
Went To See The Gypsy	https://www.allmusicals.com/lyrics/girlfromthenorthcountry/wenttoseethegypsy.htm
Tight Connection to My Heart (Has Anybody Seen My Love)	https://www.allmusicals.com/lyrics/girlfromthenorthcountry/tightconnectiontomyhearthasanybodyseenmylove.htm
Slow Train Coming	https://www.allmusicals.com/lyrics/girlfromthenorthcountry/slowtraincoming.htm
License To Kill	https://www.allmusicals.com/lyrics/girlfromthenorthcountry/licensetokill.htm
I Want You	https://www.allmusicals.com/lyrics/girlfromthenorthcountry/iwantyou.htm
Like A Rolling Stone	https://www.allmusicals.com/lyrics/girlfromthenorthcountry/likearollingstone.htm
Make You Feel My Love	https://www.allmusicals.com/lyrics/girlfromthenorthcountry/makeyoufeelmylove.htm
You Ain't Going Nowhere	https://www.allmusicals.com/lyrics/girlfromthenorthcountry/youaintgoingnowhere.htm
Jokerman	https://www.allmusicals.com/lyrics/girlfromthenorthcountry/jokerman.htm
Sweetheart Like You	https://www.allmusicals.com/lyrics/girlfromthenorthcountry/sweetheartlikeyou.htm
True Love Tends To Forget	https://www.allmusicals.com/lyrics/girlfromthenorthcountry/truelovetendstoforget.htm
Girl from the North Country	https://www.allmusicals.com/lyrics/girlfromthenorthcountry/girlfromthenorthcountry.htm
Hurricane	https://www.allmusicals.com/lyrics/girlfromthenorthcountry/hurricane.htm
Idiot Wind	https://www.allmusicals.com/lyrics/girlfromthenorthcountry/idiotwind.htm
Duquesne Whistle	https://www.allmusicals.com/lyrics/girlfromthenorthcountry/duquesnewhistle.htm
Señor (Tales of Yankee Power)	https://www.allmusicals.com/lyrics/girlfromthenorthcountry/seortalesofyankeepower.htm
Is Your Love In Vain?	https://www.allmusicals.com/lyrics/girlfromthenorthcountry/isyourloveinvain.htm
Forever Young	https://www.allmusicals.com/lyrics/girlfromthenorthcountry/foreveryoung.htm
My Back Pages	https://www.allmusicals.com/lyrics/girlfromthenorthcountry/mybackpages.htm
