song-name	url
The Girl Who Has Everything/The Five-Fifteen	https://www.allmusicals.com/lyrics/greygardens/thegirlwhohaseverythingthefivefifteen.htm
Mother Darling	https://www.allmusicals.com/lyrics/greygardens/motherdarling.htm
Goin' Places	https://www.allmusicals.com/lyrics/greygardens/goinplaces.htm
Marry Well	https://www.allmusicals.com/lyrics/greygardens/marrywell.htm
Hominy Grits	https://www.allmusicals.com/lyrics/greygardens/hominygrits.htm
Peas in a Pod	https://www.allmusicals.com/lyrics/greygardens/peasinapod.htm
Drift Away	https://www.allmusicals.com/lyrics/greygardens/driftaway.htm
The Five-Fifteen (reprise)	https://www.allmusicals.com/lyrics/greygardens/thefivefifteenreprise.htm
Daddy's Girl	https://www.allmusicals.com/lyrics/greygardens/daddysgirl.htm
The Telegram	https://www.allmusicals.com/lyrics/greygardens/thetelegram.htm
Will You?	https://www.allmusicals.com/lyrics/greygardens/willyou.htm
The Revolutionary Costume for Today	https://www.allmusicals.com/lyrics/greygardens/therevolutionarycostumefortoday.htm
The Cake I Had	https://www.allmusicals.com/lyrics/greygardens/thecakeihad.htm
Entering Grey Gardens	https://www.allmusicals.com/lyrics/greygardens/enteringgreygardens.htm
The House We Live In	https://www.allmusicals.com/lyrics/greygardens/thehousewelivein.htm
Jerry Likes My Corn	https://www.allmusicals.com/lyrics/greygardens/jerrylikesmycorn.htm
Around the World	https://www.allmusicals.com/lyrics/greygardens/aroundtheworld.htm
Around the World (reprise)	https://www.allmusicals.com/lyrics/greygardens/aroundtheworldreprise.htm
Another Winter in a Summer Town	https://www.allmusicals.com/lyrics/greygardens/anotherwinterinasummertown.htm
The Girl Who Has Everything (reprise)	https://www.allmusicals.com/lyrics/greygardens/thegirlwhohaseverythingreprise.htm
