song-name	url
There Will Be Sun	https://www.allmusicals.com/lyrics/groundhogday/therewillbesun.htm
Small Town, U.S.A. (Day 1)	https://www.allmusicals.com/lyrics/groundhogday/smalltownusaday1.htm
Small Town, U.S.A. (Day 2)	https://www.allmusicals.com/lyrics/groundhogday/smalltownusaday2.htm
Small Town, U.S.A. (Day 3)	https://www.allmusicals.com/lyrics/groundhogday/smalltownusaday3.htm
Stuck	https://www.allmusicals.com/lyrics/groundhogday/stuck.htm
Nobody Cares	https://www.allmusicals.com/lyrics/groundhogday/nobodycares.htm
Philandering	https://www.allmusicals.com/lyrics/groundhogday/philandering.htm
One Day	https://www.allmusicals.com/lyrics/groundhogday/oneday.htm
Playing Nancy	https://www.allmusicals.com/lyrics/groundhogday/playingnancy.htm
Hope	https://www.allmusicals.com/lyrics/groundhogday/hope.htm
Everything About You	https://www.allmusicals.com/lyrics/groundhogday/everythingaboutyou.htm
If I Had My Time Again	https://www.allmusicals.com/lyrics/groundhogday/ifihadmytimeagain.htm
Everything About You (Reprise)	https://www.allmusicals.com/lyrics/groundhogday/everythingaboutyoureprise.htm
Night Will Come	https://www.allmusicals.com/lyrics/groundhogday/nightwillcome.htm
Punxsutawney Rock	https://www.allmusicals.com/lyrics/groundhogday/punxsutawneyrock.htm
Seeing You	https://www.allmusicals.com/lyrics/groundhogday/seeingyou.htm
