song-name	url
OK! Here We Go!	https://www.allmusicals.com/lyrics/gutenbergthemusical/okherewego.htm
Prologue/Schlimmer	https://www.allmusicals.com/lyrics/gutenbergthemusical/prologueschlimmer.htm
Friendly...but Also Suspicious.	https://www.allmusicals.com/lyrics/gutenbergthemusical/friendlybutalsosuspicious.htm
I Can’t Read	https://www.allmusicals.com/lyrics/gutenbergthemusical/icantread.htm
Did Helvetica Actually Exist?	https://www.allmusicals.com/lyrics/gutenbergthemusical/didhelveticaactuallyexist.htm
Haunted German Wood	https://www.allmusicals.com/lyrics/gutenbergthemusical/hauntedgermanwood.htm
The Press Song	https://www.allmusicals.com/lyrics/gutenbergthemusical/thepresssong.htm
I Can’t Read (Reprise)	https://www.allmusicals.com/lyrics/gutenbergthemusical/icantreadreprise.htm
A Giant Tree...Of Goodness	https://www.allmusicals.com/lyrics/gutenbergthemusical/agianttreeofgoodness.htm
Biscuits!	https://www.allmusicals.com/lyrics/gutenbergthemusical/biscuits.htm
This Show Is Not About Biscuits!	https://www.allmusicals.com/lyrics/gutenbergthemusical/thisshowisnotaboutbiscuits.htm
What’s the Word?	https://www.allmusicals.com/lyrics/gutenbergthemusical/whatstheword.htm
Helvetica Is Crying in Her Bucket	https://www.allmusicals.com/lyrics/gutenbergthemusical/helveticaiscryinginherbucket.htm
Stop the Press	https://www.allmusicals.com/lyrics/gutenbergthemusical/stopthepress.htm
Now Anything Can Happen!	https://www.allmusicals.com/lyrics/gutenbergthemusical/nowanythingcanhappen.htm
Tomorrow Is Tonight	https://www.allmusicals.com/lyrics/gutenbergthemusical/tomorrowistonight.htm
Here We Go Again! The Second Act!	https://www.allmusicals.com/lyrics/gutenbergthemusical/herewegoagainthesecondact.htm
Second Prologue	https://www.allmusicals.com/lyrics/gutenbergthemusical/secondprologue.htm
Words, Words, Words	https://www.allmusicals.com/lyrics/gutenbergthemusical/wordswordswords.htm
Monk With Me	https://www.allmusicals.com/lyrics/gutenbergthemusical/monkwithme.htm
(Might as Well) Go to Hell	https://www.allmusicals.com/lyrics/gutenbergthemusical/mightaswellgotohell.htm
Like a Million Drunks...	https://www.allmusicals.com/lyrics/gutenbergthemusical/likeamilliondrunks.htm
Festival!	https://www.allmusicals.com/lyrics/gutenbergthemusical/festival.htm
Finale	https://www.allmusicals.com/lyrics/gutenbergthemusical/finale.htm
