song-name	url
Overture	https://www.allmusicals.com/lyrics/guysanddolls/overture.htm
Runyonland	https://www.allmusicals.com/lyrics/guysanddolls/runyonland.htm
Fugue for the Tinhorns	https://www.allmusicals.com/lyrics/guysanddolls/fugueforthetinhorns.htm
Follow the Fold	https://www.allmusicals.com/lyrics/guysanddolls/followthefold.htm
The Oldest Established	https://www.allmusicals.com/lyrics/guysanddolls/theoldestestablished.htm
I'll Know	https://www.allmusicals.com/lyrics/guysanddolls/illknow.htm
Bushel and a Peck	https://www.allmusicals.com/lyrics/guysanddolls/bushelandapeck.htm
Adelaide's Lament	https://www.allmusicals.com/lyrics/guysanddolls/adelaideslament.htm
Guys and Dolls	https://www.allmusicals.com/lyrics/guysanddolls/guysanddolls.htm
Havana	https://www.allmusicals.com/lyrics/guysanddolls/havana.htm
If I Were a Bell	https://www.allmusicals.com/lyrics/guysanddolls/ifiwereabell.htm
My Time of Day	https://www.allmusicals.com/lyrics/guysanddolls/mytimeofday.htm
I've Never Been in Love Before	https://www.allmusicals.com/lyrics/guysanddolls/iveneverbeeninlovebefore.htm
Entr'acte; Take Back Your Mink	https://www.allmusicals.com/lyrics/guysanddolls/entractetakebackyourmink.htm
Adelaide's Lament (Reprise)	https://www.allmusicals.com/lyrics/guysanddolls/adelaideslamentreprise.htm
More I Cannot Wish You	https://www.allmusicals.com/lyrics/guysanddolls/moreicannotwishyou.htm
Crapshooters' Dance	https://www.allmusicals.com/lyrics/guysanddolls/crapshootersdance.htm
Luck Be a Lady	https://www.allmusicals.com/lyrics/guysanddolls/luckbealady.htm
Sue Me	https://www.allmusicals.com/lyrics/guysanddolls/sueme.htm
Sit Down, You're Rockin' the Boat	https://www.allmusicals.com/lyrics/guysanddolls/sitdownyourerockintheboat.htm
Marry the Man Today	https://www.allmusicals.com/lyrics/guysanddolls/marrythemantoday.htm
Finale	https://www.allmusicals.com/lyrics/guysanddolls/finale.htm
