song-name	url
Overture	https://www.allmusicals.com/lyrics/gypsy/overture.htm
May We Entertain You	https://www.allmusicals.com/lyrics/gypsy/mayweentertainyou.htm
Some People	https://www.allmusicals.com/lyrics/gypsy/somepeople.htm
Seattle to Los Angeles	https://www.allmusicals.com/lyrics/gypsy/seattletolosangeles.htm
Small World	https://www.allmusicals.com/lyrics/gypsy/smallworld.htm
Baby June and Her Newsboys/Let Me Entertain You	https://www.allmusicals.com/lyrics/gypsy/babyjuneandhernewsboysletmeentertainyou.htm
Have an Eggroll, Mr. Goldstone	https://www.allmusicals.com/lyrics/gypsy/haveaneggrollmrgoldstone.htm
Little Lamb	https://www.allmusicals.com/lyrics/gypsy/littlelamb.htm
You'll Never Get Away From Me	https://www.allmusicals.com/lyrics/gypsy/youllnevergetawayfromme.htm
Dainty June and Her Farmboys / Broadway	https://www.allmusicals.com/lyrics/gypsy/daintyjuneandherfarmboysbroadway.htm
If Momma Was Married	https://www.allmusicals.com/lyrics/gypsy/ifmommawasmarried.htm
All I Need Is the Girl	https://www.allmusicals.com/lyrics/gypsy/allineedisthegirl.htm
Everything's Coming Up Roses	https://www.allmusicals.com/lyrics/gypsy/everythingscominguproses.htm
Together Wherever We Go	https://www.allmusicals.com/lyrics/gypsy/togetherwhereverwego.htm
You Gotta Get A Gimmick	https://www.allmusicals.com/lyrics/gypsy/yougottagetagimmick.htm
The Strip	https://www.allmusicals.com/lyrics/gypsy/thestrip.htm
Rose's Turn	https://www.allmusicals.com/lyrics/gypsy/rosesturn.htm
Tomorrow's Mother's Day	https://www.allmusicals.com/lyrics/gypsy/tomorrowsmothersday.htm
Small World/Momma's Talkin' Soft	https://www.allmusicals.com/lyrics/gypsy/smallworldmommastalkinsoft.htm
Nice She Ain't	https://www.allmusicals.com/lyrics/gypsy/nicesheaint.htm
Smile, Girls	https://www.allmusicals.com/lyrics/gypsy/smilegirls.htm
Who Needs Him?	https://www.allmusicals.com/lyrics/gypsy/whoneedshim.htm
Three Wishes For Christmas	https://www.allmusicals.com/lyrics/gypsy/threewishesforchristmas.htm
