song-name	url
Road to Hell	https://www.allmusicals.com/lyrics/hadestown/roadtohell.htm
Any Way the Wind Blows	https://www.allmusicals.com/lyrics/hadestown/anywaythewindblows.htm
Come Home With Me	https://www.allmusicals.com/lyrics/hadestown/comehomewithme.htm
Wedding Song	https://www.allmusicals.com/lyrics/hadestown/weddingsong.htm
Epic I	https://www.allmusicals.com/lyrics/hadestown/epici.htm
Living It Up On Top	https://www.allmusicals.com/lyrics/hadestown/livingitupontop.htm
All I've Ever Known	https://www.allmusicals.com/lyrics/hadestown/alliveeverknown.htm
Way Down Hadestown	https://www.allmusicals.com/lyrics/hadestown/waydownhadestown.htm
Epic II	https://www.allmusicals.com/lyrics/hadestown/epicii.htm
Chant	https://www.allmusicals.com/lyrics/hadestown/chant.htm
Hey, Little Songbird	https://www.allmusicals.com/lyrics/hadestown/heylittlesongbird.htm
When The Chips Are Down	https://www.allmusicals.com/lyrics/hadestown/whenthechipsaredown.htm
Gone, I'm Gone	https://www.allmusicals.com/lyrics/hadestown/goneimgone.htm
Wait For Me	https://www.allmusicals.com/lyrics/hadestown/waitforme.htm
Why We Build the Wall	https://www.allmusicals.com/lyrics/hadestown/whywebuildthewall.htm
Our Lady of the Underground	https://www.allmusicals.com/lyrics/hadestown/ourladyoftheunderground.htm
Way Down Hadestown II	https://www.allmusicals.com/lyrics/hadestown/waydownhadestownii.htm
Flowers	https://www.allmusicals.com/lyrics/hadestown/flowers.htm
Come Home With Me II	https://www.allmusicals.com/lyrics/hadestown/comehomewithmeii.htm
Papers	https://www.allmusicals.com/lyrics/hadestown/papers.htm
Nothing Changes	https://www.allmusicals.com/lyrics/hadestown/nothingchanges.htm
If It's True	https://www.allmusicals.com/lyrics/hadestown/ifitstrue.htm
How Long	https://www.allmusicals.com/lyrics/hadestown/howlong.htm
Chant II	https://www.allmusicals.com/lyrics/hadestown/chantii.htm
Epic III	https://www.allmusicals.com/lyrics/hadestown/epiciii.htm
Promises	https://www.allmusicals.com/lyrics/hadestown/promises.htm
Word to the Wise	https://www.allmusicals.com/lyrics/hadestown/wordtothewise.htm
His Kiss, The Riot	https://www.allmusicals.com/lyrics/hadestown/hiskisstheriot.htm
Wait For Me II	https://www.allmusicals.com/lyrics/hadestown/waitformeii.htm
Doubt Comes In	https://www.allmusicals.com/lyrics/hadestown/doubtcomesin.htm
Road to Hell II	https://www.allmusicals.com/lyrics/hadestown/roadtohellii.htm
I Raise My Cup	https://www.allmusicals.com/lyrics/hadestown/iraisemycup.htm
