song-name	url
Aquarius	https://www.allmusicals.com/lyrics/hair/aquarius.htm
Donna	https://www.allmusicals.com/lyrics/hair/donna.htm
Hashish	https://www.allmusicals.com/lyrics/hair/hashish.htm
Sodomy	https://www.allmusicals.com/lyrics/hair/sodomy.htm
Colored Spade	https://www.allmusicals.com/lyrics/hair/coloredspade.htm
Manchester England	https://www.allmusicals.com/lyrics/hair/manchesterengland.htm
I'm Black / Ain't Got No	https://www.allmusicals.com/lyrics/hair/imblackaintgotno.htm
I Believe In Love	https://www.allmusicals.com/lyrics/hair/ibelieveinlove.htm
Ain't Got No (Reprise)	https://www.allmusicals.com/lyrics/hair/aintgotnoreprise.htm
Air	https://www.allmusicals.com/lyrics/hair/air.htm
Initials	https://www.allmusicals.com/lyrics/hair/initials.htm
I Got Life	https://www.allmusicals.com/lyrics/hair/igotlife.htm
Going Down	https://www.allmusicals.com/lyrics/hair/goingdown.htm
Hair	https://www.allmusicals.com/lyrics/hair/hair.htm
My Conviction	https://www.allmusicals.com/lyrics/hair/myconviction.htm
Easy to Be Hard	https://www.allmusicals.com/lyrics/hair/easytobehard.htm
Don't Put It Down	https://www.allmusicals.com/lyrics/hair/dontputitdown.htm
Frank Mills	https://www.allmusicals.com/lyrics/hair/frankmills.htm
Hare Krishna/ Be-In	https://www.allmusicals.com/lyrics/hair/harekrishnabein.htm
Where Do I Go?	https://www.allmusicals.com/lyrics/hair/wheredoigo.htm
Electric Blues	https://www.allmusicals.com/lyrics/hair/electricblues.htm
Oh Great God Of Power/Manchester England (Reprise)	https://www.allmusicals.com/lyrics/hair/ohgreatgodofpowermanchesterenglandreprise.htm
Black Boys	https://www.allmusicals.com/lyrics/hair/blackboys.htm
White Boys	https://www.allmusicals.com/lyrics/hair/whiteboys.htm
Walking in Space	https://www.allmusicals.com/lyrics/hair/walkinginspace.htm
Abie Baby	https://www.allmusicals.com/lyrics/hair/abiebaby.htm
Give Up All Desires/Hail Mary/Roll Call	https://www.allmusicals.com/lyrics/hair/giveupalldesireshailmaryrollcall.htm
Three-Five-Zero-Zero	https://www.allmusicals.com/lyrics/hair/threefivezerozero.htm
What a Piece of Work Is Man	https://www.allmusicals.com/lyrics/hair/whatapieceofworkisman.htm
Good Morning Starshine	https://www.allmusicals.com/lyrics/hair/goodmorningstarshine.htm
Bed	https://www.allmusicals.com/lyrics/hair/bed.htm
Aquarius Goodnights	https://www.allmusicals.com/lyrics/hair/aquariusgoodnights.htm
Flesh Failures	https://www.allmusicals.com/lyrics/hair/fleshfailures.htm
