song-name	url
We Got the Beat	https://www.allmusicals.com/lyrics/headoverheels/wegotthebeat.htm
Beautiful	https://www.allmusicals.com/lyrics/headoverheels/beautiful.htm
Vision of Nowness	https://www.allmusicals.com/lyrics/headoverheels/visionofnowness.htm
Get up and Go	https://www.allmusicals.com/lyrics/headoverheels/getupandgo.htm
Mad About You	https://www.allmusicals.com/lyrics/headoverheels/madaboutyou.htm
Good Girl	https://www.allmusicals.com/lyrics/headoverheels/goodgirl.htm
Automatic Rainy Day	https://www.allmusicals.com/lyrics/headoverheels/automaticrainyday.htm
Cool Jerk	https://www.allmusicals.com/lyrics/headoverheels/cooljerk.htm
Vacation	https://www.allmusicals.com/lyrics/headoverheels/vacation.htm
How Much More	https://www.allmusicals.com/lyrics/headoverheels/howmuchmore.htm
Our Lips Are Sealed	https://www.allmusicals.com/lyrics/headoverheels/ourlipsaresealed.htm
Head Over Heels	https://www.allmusicals.com/lyrics/headoverheels/headoverheels.htm
This Old Feeling	https://www.allmusicals.com/lyrics/headoverheels/thisoldfeeling.htm
Turn to You	https://www.allmusicals.com/lyrics/headoverheels/turntoyou.htm
Heaven Is a Place on Earth	https://www.allmusicals.com/lyrics/headoverheels/heavenisaplaceonearth.htm
Lust to Love	https://www.allmusicals.com/lyrics/headoverheels/lusttolove.htm
Here You Are	https://www.allmusicals.com/lyrics/headoverheels/hereyouare.htm
Finale	https://www.allmusicals.com/lyrics/headoverheels/finale.htm
