song-name	url
Beautiful	https://www.allmusicals.com/lyrics/heathers/beautiful.htm
Candy Store	https://www.allmusicals.com/lyrics/heathers/candystore.htm
Fight for Me	https://www.allmusicals.com/lyrics/heathers/fightforme.htm
Freeze Your Brain	https://www.allmusicals.com/lyrics/heathers/freezeyourbrain.htm
Big Fun	https://www.allmusicals.com/lyrics/heathers/bigfun.htm
Dead Girl Walking	https://www.allmusicals.com/lyrics/heathers/deadgirlwalking.htm
The Me Inside of Me	https://www.allmusicals.com/lyrics/heathers/themeinsideofme.htm
Blue	https://www.allmusicals.com/lyrics/heathers/blue.htm
Our Love Is God	https://www.allmusicals.com/lyrics/heathers/ourloveisgod.htm
My Dead Gay Son	https://www.allmusicals.com/lyrics/heathers/mydeadgayson.htm
Seventeen	https://www.allmusicals.com/lyrics/heathers/seventeen.htm
Shine a Light	https://www.allmusicals.com/lyrics/heathers/shinealight.htm
Lifeboat	https://www.allmusicals.com/lyrics/heathers/lifeboat.htm
Shine a Light (reprise)	https://www.allmusicals.com/lyrics/heathers/shinealightreprise.htm
Kindergarten Boyfriend	https://www.allmusicals.com/lyrics/heathers/kindergartenboyfriend.htm
Yo Girl	https://www.allmusicals.com/lyrics/heathers/yogirl.htm
Meant to Be Yours	https://www.allmusicals.com/lyrics/heathers/meanttobeyours.htm
Dead Girl Walking (Reprise)	https://www.allmusicals.com/lyrics/heathers/deadgirlwalkingreprise.htm
I Am Damaged	https://www.allmusicals.com/lyrics/heathers/iamdamaged.htm
Seventeen (reprise)	https://www.allmusicals.com/lyrics/heathers/seventeenreprise.htm
Candy Store Playoff	https://www.allmusicals.com/lyrics/heathers/candystoreplayoff.htm
Veronicas Chandler Nightmare	https://www.allmusicals.com/lyrics/heathers/veronicaschandlernightmare.htm
Blue Reprise	https://www.allmusicals.com/lyrics/heathers/bluereprise.htm
Prom or Hell?	https://www.allmusicals.com/lyrics/heathers/promorhell.htm
Hey, Yo Westerberg	https://www.allmusicals.com/lyrics/heathers/heyyowesterberg.htm
You're Welcome	https://www.allmusicals.com/lyrics/heathers/yourewelcome.htm
Never Shut Up Again	https://www.allmusicals.com/lyrics/heathers/nevershutupagain.htm
I Say No	https://www.allmusicals.com/lyrics/heathers/isayno.htm
