song-name	url
Tear Me Down	https://www.allmusicals.com/lyrics/hedwigandtheangryinch/tearmedown.htm
The Origin Of Love	https://www.allmusicals.com/lyrics/hedwigandtheangryinch/theoriginoflove.htm
Random Number Generation	https://www.allmusicals.com/lyrics/hedwigandtheangryinch/randomnumbergeneration.htm
Sugar Daddy	https://www.allmusicals.com/lyrics/hedwigandtheangryinch/sugardaddy.htm
Angry Inch	https://www.allmusicals.com/lyrics/hedwigandtheangryinch/angryinch.htm
Wig In A Box	https://www.allmusicals.com/lyrics/hedwigandtheangryinch/wiginabox.htm
Wicked Little Town	https://www.allmusicals.com/lyrics/hedwigandtheangryinch/wickedlittletown.htm
The Long Grift	https://www.allmusicals.com/lyrics/hedwigandtheangryinch/thelonggrift.htm
Hedwig's Lament	https://www.allmusicals.com/lyrics/hedwigandtheangryinch/hedwigslament.htm
Exquisite Corpse	https://www.allmusicals.com/lyrics/hedwigandtheangryinch/exquisitecorpse.htm
Wicked Little Town (Reprise)	https://www.allmusicals.com/lyrics/hedwigandtheangryinch/wickedlittletownreprise.htm
Midnight Radio	https://www.allmusicals.com/lyrics/hedwigandtheangryinch/midnightradio.htm
