song-name	url
I Put My Hand In	https://www.allmusicals.com/lyrics/hellodolly/iputmyhandin.htm
It Takes a Woman	https://www.allmusicals.com/lyrics/hellodolly/ittakesawoman.htm
Put on Your Sunday Clothes	https://www.allmusicals.com/lyrics/hellodolly/putonyoursundayclothes.htm
Ribbons Down My Back	https://www.allmusicals.com/lyrics/hellodolly/ribbonsdownmyback.htm
Motherhood	https://www.allmusicals.com/lyrics/hellodolly/motherhood.htm
Dancing	https://www.allmusicals.com/lyrics/hellodolly/dancing.htm
Before the Parade Passes By	https://www.allmusicals.com/lyrics/hellodolly/beforetheparadepassesby.htm
Elegance	https://www.allmusicals.com/lyrics/hellodolly/elegance.htm
Hello, Dolly!	https://www.allmusicals.com/lyrics/hellodolly/hellodolly.htm
It Only Takes a Moment	https://www.allmusicals.com/lyrics/hellodolly/itonlytakesamoment.htm
So Long Dearie	https://www.allmusicals.com/lyrics/hellodolly/solongdearie.htm
Finale	https://www.allmusicals.com/lyrics/hellodolly/finale.htm
