song-name	url
The Last Real Record Store On Earth	https://www.allmusicals.com/lyrics/highfidelity/thelastrealrecordstoreonearth.htm
Desert Island Top 5 Break-Up	https://www.allmusicals.com/lyrics/highfidelity/desertislandtop5breakup.htm
It's No Problem	https://www.allmusicals.com/lyrics/highfidelity/itsnoproblem.htm
She Goes	https://www.allmusicals.com/lyrics/highfidelity/shegoes.htm
Ian's Here	https://www.allmusicals.com/lyrics/highfidelity/ianshere.htm
Number 5 With A Bullet	https://www.allmusicals.com/lyrics/highfidelity/number5withabullet.htm
Ready To Settle	https://www.allmusicals.com/lyrics/highfidelity/readytosettle.htm
Nine Percent Chance	https://www.allmusicals.com/lyrics/highfidelity/ninepercentchance.htm
I Slept With Someone (Who Slept With Lyle Lovett)	https://www.allmusicals.com/lyrics/highfidelity/isleptwithsomeonewhosleptwithlylelovett.htm
I Slept With Someone (Who Handled Kurt Cobain's Intervention)	https://www.allmusicals.com/lyrics/highfidelity/isleptwithsomeonewhohandledkurtcobainsintervention.htm
I Slept With Someone (Reprise)	https://www.allmusicals.com/lyrics/highfidelity/isleptwithsomeonereprise.htm
Cryin' In The Rain	https://www.allmusicals.com/lyrics/highfidelity/cryinintherain.htm
It's No Problem (Reprise)	https://www.allmusicals.com/lyrics/highfidelity/itsnoproblemreprise.htm
Laura, Laura	https://www.allmusicals.com/lyrics/highfidelity/lauralaura.htm
Turn The World Off (And Turn You On)	https://www.allmusicals.com/lyrics/highfidelity/turntheworldoffandturnyouon.htm
Too Tired	https://www.allmusicals.com/lyrics/highfidelity/tootired.htm
