song-name	url
Start of Something New	https://www.allmusicals.com/lyrics/highschool/startofsomethingnew.htm
Get'cha Head in the Game	https://www.allmusicals.com/lyrics/highschool/getchaheadinthegame.htm
What I've Been Looking For	https://www.allmusicals.com/lyrics/highschool/whativebeenlookingfor.htm
What I've Been Looking For (Reprise)	https://www.allmusicals.com/lyrics/highschool/whativebeenlookingforreprise.htm
Stick to the Status Quo	https://www.allmusicals.com/lyrics/highschool/sticktothestatusquo.htm
When There Was Me and You	https://www.allmusicals.com/lyrics/highschool/whentherewasmeandyou.htm
Bop to the Top	https://www.allmusicals.com/lyrics/highschool/boptothetop.htm
Breaking Free	https://www.allmusicals.com/lyrics/highschool/breakingfree.htm
We're All in This Together	https://www.allmusicals.com/lyrics/highschool/wereallinthistogether.htm
I Can't Take My Eyes Off You	https://www.allmusicals.com/lyrics/highschool/icanttakemyeyesoffyou.htm
