song-name	url
What Time Is It	https://www.allmusicals.com/lyrics/highschool2/whattimeisit.htm
Fabulous	https://www.allmusicals.com/lyrics/highschool2/fabulous.htm
Work This Out	https://www.allmusicals.com/lyrics/highschool2/workthisout.htm
You Are the Music in Me	https://www.allmusicals.com/lyrics/highschool2/youarethemusicinme.htm
I Don't Dance	https://www.allmusicals.com/lyrics/highschool2/idontdance.htm
You Are the Music in Me (Reprise)	https://www.allmusicals.com/lyrics/highschool2/youarethemusicinmereprise.htm
Gotta Go My Own Way	https://www.allmusicals.com/lyrics/highschool2/gottagomyownway.htm
Bet On It	https://www.allmusicals.com/lyrics/highschool2/betonit.htm
Everyday	https://www.allmusicals.com/lyrics/highschool2/everyday.htm
All For One	https://www.allmusicals.com/lyrics/highschool2/allforone.htm
HUMUHUMUNUKUNUKUAPUA'A	https://www.allmusicals.com/lyrics/highschool2/humuhumunukunukuapuaa.htm
