song-name	url
Wildcat Cheer	https://www.allmusicals.com/lyrics/highschoolonstage/wildcatcheer.htm
Start of Something New	https://www.allmusicals.com/lyrics/highschoolonstage/startofsomethingnew.htm
Get'cha Head in the Game	https://www.allmusicals.com/lyrics/highschoolonstage/getchaheadinthegame.htm
Get'cha Head in the Game (Reprise)	https://www.allmusicals.com/lyrics/highschoolonstage/getchaheadinthegamereprise.htm
Auditions	https://www.allmusicals.com/lyrics/highschoolonstage/auditions.htm
What I've Been Looking For	https://www.allmusicals.com/lyrics/highschoolonstage/whativebeenlookingfor.htm
What I've Been Looking For (Reprise)	https://www.allmusicals.com/lyrics/highschoolonstage/whativebeenlookingforreprise.htm
Cellular Fusion	https://www.allmusicals.com/lyrics/highschoolonstage/cellularfusion.htm
Stick to the Status Quo	https://www.allmusicals.com/lyrics/highschoolonstage/sticktothestatusquo.htm
I Can't Take My Eyes Off of You	https://www.allmusicals.com/lyrics/highschoolonstage/icanttakemyeyesoffofyou.htm
Wildcat Cheer (Reprise)	https://www.allmusicals.com/lyrics/highschoolonstage/wildcatcheerreprise.htm
Counting on You	https://www.allmusicals.com/lyrics/highschoolonstage/countingonyou.htm
When There Was Me and You	https://www.allmusicals.com/lyrics/highschoolonstage/whentherewasmeandyou.htm
Start of Something New (Reprise)	https://www.allmusicals.com/lyrics/highschoolonstage/startofsomethingnewreprise.htm
We're All in This Together	https://www.allmusicals.com/lyrics/highschoolonstage/wereallinthistogether.htm
Bop to the Top	https://www.allmusicals.com/lyrics/highschoolonstage/boptothetop.htm
Breaking Free	https://www.allmusicals.com/lyrics/highschoolonstage/breakingfree.htm
We're All in This Together (Reprise)	https://www.allmusicals.com/lyrics/highschoolonstage/wereallinthistogetherreprise.htm
