song-name	url
A Poultry Tale	https://www.allmusicals.com/lyrics/honk/apoultrytale.htm
The Joy Of Motherhood	https://www.allmusicals.com/lyrics/honk/thejoyofmotherhood.htm
Different	https://www.allmusicals.com/lyrics/honk/different.htm
Hold Your Head Up High	https://www.allmusicals.com/lyrics/honk/holdyourheaduphigh.htm
Look At Him	https://www.allmusicals.com/lyrics/honk/lookathim.htm
Play With Your Food	https://www.allmusicals.com/lyrics/honk/playwithyourfood.htm
The Elegy	https://www.allmusicals.com/lyrics/honk/theelegy.htm
Every Tear A Mother Cries	https://www.allmusicals.com/lyrics/honk/everytearamothercries.htm
The Wild Goose Chase	https://www.allmusicals.com/lyrics/honk/thewildgoosechase.htm
Hold Your Head Up High (Reprise)	https://www.allmusicals.com/lyrics/honk/holdyourheaduphighreprise.htm
It Takes All Sorts	https://www.allmusicals.com/lyrics/honk/ittakesallsorts.htm
Together	https://www.allmusicals.com/lyrics/honk/together.htm
The Collage	https://www.allmusicals.com/lyrics/honk/thecollage.htm
Now I've Seen You	https://www.allmusicals.com/lyrics/honk/nowiveseenyou.htm
Warts And All	https://www.allmusicals.com/lyrics/honk/wartsandall.htm
The Blizzard	https://www.allmusicals.com/lyrics/honk/theblizzard.htm
Finale: Look At Him	https://www.allmusicals.com/lyrics/honk/finalelookathim.htm
Warts And All (Reprise)	https://www.allmusicals.com/lyrics/honk/wartsandallreprise.htm
