song-name	url
Overture	https://www.allmusicals.com/lyrics/howtosucceedinbusinesswithoutreallytrying/overture.htm
Dear Reader	https://www.allmusicals.com/lyrics/howtosucceedinbusinesswithoutreallytrying/dearreader.htm
How To Succeed	https://www.allmusicals.com/lyrics/howtosucceedinbusinesswithoutreallytrying/howtosucceed.htm
Happy To Keep His Dinner Warm	https://www.allmusicals.com/lyrics/howtosucceedinbusinesswithoutreallytrying/happytokeephisdinnerwarm.htm
Coffee Break	https://www.allmusicals.com/lyrics/howtosucceedinbusinesswithoutreallytrying/coffeebreak.htm
You Have Alertly Seized Your Opportunities	https://www.allmusicals.com/lyrics/howtosucceedinbusinesswithoutreallytrying/youhavealertlyseizedyouropportunities.htm
The Company Way	https://www.allmusicals.com/lyrics/howtosucceedinbusinesswithoutreallytrying/thecompanyway.htm
The Company Way (Reprise)	https://www.allmusicals.com/lyrics/howtosucceedinbusinesswithoutreallytrying/thecompanywayreprise.htm
The Entrance Of Hedy LeRue	https://www.allmusicals.com/lyrics/howtosucceedinbusinesswithoutreallytrying/theentranceofhedylerue.htm
A Secretary Is Not A Toy	https://www.allmusicals.com/lyrics/howtosucceedinbusinesswithoutreallytrying/asecretaryisnotatoy.htm
Been A Long Day	https://www.allmusicals.com/lyrics/howtosucceedinbusinesswithoutreallytrying/beenalongday.htm
Been a Long Day (Reprise)	https://www.allmusicals.com/lyrics/howtosucceedinbusinesswithoutreallytrying/beenalongdayreprise.htm
Saturday Morning Ballet	https://www.allmusicals.com/lyrics/howtosucceedinbusinesswithoutreallytrying/saturdaymorningballet.htm
Grand Old Ivy	https://www.allmusicals.com/lyrics/howtosucceedinbusinesswithoutreallytrying/grandoldivy.htm
Paris Original	https://www.allmusicals.com/lyrics/howtosucceedinbusinesswithoutreallytrying/parisoriginal.htm
Rosemary	https://www.allmusicals.com/lyrics/howtosucceedinbusinesswithoutreallytrying/rosemary.htm
Finaletto Act One	https://www.allmusicals.com/lyrics/howtosucceedinbusinesswithoutreallytrying/finalettoactone.htm
Entr'acte	https://www.allmusicals.com/lyrics/howtosucceedinbusinesswithoutreallytrying/entracte.htm
So You Are Now A Vice-President	https://www.allmusicals.com/lyrics/howtosucceedinbusinesswithoutreallytrying/soyouarenowavicepresident.htm
Cinderella, Darling	https://www.allmusicals.com/lyrics/howtosucceedinbusinesswithoutreallytrying/cinderelladarling.htm
Love From A Heart Of Gold	https://www.allmusicals.com/lyrics/howtosucceedinbusinesswithoutreallytrying/lovefromaheartofgold.htm
I Believe In You	https://www.allmusicals.com/lyrics/howtosucceedinbusinesswithoutreallytrying/ibelieveinyou.htm
The Pirate Dance	https://www.allmusicals.com/lyrics/howtosucceedinbusinesswithoutreallytrying/thepiratedance.htm
How To Handle A Disaster	https://www.allmusicals.com/lyrics/howtosucceedinbusinesswithoutreallytrying/howtohandleadisaster.htm
I Believe in You (Reprise)	https://www.allmusicals.com/lyrics/howtosucceedinbusinesswithoutreallytrying/ibelieveinyoureprise.htm
By This Time, You Are A Seasoned Executive	https://www.allmusicals.com/lyrics/howtosucceedinbusinesswithoutreallytrying/bythistimeyouareaseasonedexecutive.htm
Brotherhood Of Man	https://www.allmusicals.com/lyrics/howtosucceedinbusinesswithoutreallytrying/brotherhoodofman.htm
Finale	https://www.allmusicals.com/lyrics/howtosucceedinbusinesswithoutreallytrying/finale.htm
