song-name	url
All the Dearly Beloved	https://www.allmusicals.com/lyrics/idoido/allthedearlybeloved.htm
Together Forever	https://www.allmusicals.com/lyrics/idoido/togetherforever.htm
I Do! I Do!	https://www.allmusicals.com/lyrics/idoido/idoido.htm
Goodnight	https://www.allmusicals.com/lyrics/idoido/goodnight.htm
I Love My Wife	https://www.allmusicals.com/lyrics/idoido/ilovemywife.htm
Something Has Happened	https://www.allmusicals.com/lyrics/idoido/somethinghashappened.htm
My Cup Runneth Over	https://www.allmusicals.com/lyrics/idoido/mycuprunnethover.htm
Love Isn't Everything	https://www.allmusicals.com/lyrics/idoido/loveisnteverything.htm
Nobody's Perfect	https://www.allmusicals.com/lyrics/idoido/nobodysperfect.htm
A Well Known Fact	https://www.allmusicals.com/lyrics/idoido/awellknownfact.htm
Flaming Agnes	https://www.allmusicals.com/lyrics/idoido/flamingagnes.htm
The Honeymoon Is Over	https://www.allmusicals.com/lyrics/idoido/thehoneymoonisover.htm
Where Are the Snows?	https://www.allmusicals.com/lyrics/idoido/wherearethesnows.htm
When the Kids Get Married	https://www.allmusicals.com/lyrics/idoido/whenthekidsgetmarried.htm
The Father of the Bride	https://www.allmusicals.com/lyrics/idoido/thefatherofthebride.htm
What Is a Woman?	https://www.allmusicals.com/lyrics/idoido/whatisawoman.htm
Someone Needs Me	https://www.allmusicals.com/lyrics/idoido/someoneneedsme.htm
Roll Up the Ribbons	https://www.allmusicals.com/lyrics/idoido/rolluptheribbons.htm
