song-name	url
Prologue	https://www.allmusicals.com/lyrics/ifthen/prologue.htm
What If?	https://www.allmusicals.com/lyrics/ifthen/whatif.htm
It's a Sign	https://www.allmusicals.com/lyrics/ifthen/itsasign.htm
A Map of New York	https://www.allmusicals.com/lyrics/ifthen/amapofnewyork.htm
You Never Know	https://www.allmusicals.com/lyrics/ifthen/youneverknow.htm
Ain't No Man Manhattan	https://www.allmusicals.com/lyrics/ifthen/aintnomanmanhattan.htm
What the Fuck?	https://www.allmusicals.com/lyrics/ifthen/whatthefuck.htm
Here I Go	https://www.allmusicals.com/lyrics/ifthen/hereigo.htm
You Don't Need to Love Me	https://www.allmusicals.com/lyrics/ifthen/youdontneedtoloveme.htm
No More Wasted Time	https://www.allmusicals.com/lyrics/ifthen/nomorewastedtime.htm
Surprise	https://www.allmusicals.com/lyrics/ifthen/surprise.htm
This Day / Walking By A Wedding	https://www.allmusicals.com/lyrics/ifthen/thisdaywalkingbyawedding.htm
Hey Kid	https://www.allmusicals.com/lyrics/ifthen/heykid.htm
Some Other Me	https://www.allmusicals.com/lyrics/ifthen/someotherme.htm
Best Worst Mistake	https://www.allmusicals.com/lyrics/ifthen/bestworstmistake.htm
I Hate You	https://www.allmusicals.com/lyrics/ifthen/ihateyou.htm
A Map Of New York (Reprise)	https://www.allmusicals.com/lyrics/ifthen/amapofnewyorkreprise.htm
You Learn to Live Without	https://www.allmusicals.com/lyrics/ifthen/youlearntolivewithout.htm
The Moment Explodes	https://www.allmusicals.com/lyrics/ifthen/themomentexplodes.htm
Love While You Can	https://www.allmusicals.com/lyrics/ifthen/lovewhileyoucan.htm
What Would You Do?	https://www.allmusicals.com/lyrics/ifthen/whatwouldyoudo.htm
Always Starting Over	https://www.allmusicals.com/lyrics/ifthen/alwaysstartingover.htm
What If? (Reprise)	https://www.allmusicals.com/lyrics/ifthen/whatifreprise.htm
