song-name	url
Cantata for a First Date	https://www.allmusicals.com/lyrics/iloveyouyoureperfectnowchange/cantataforafirstdate.htm
Stud and a Babe	https://www.allmusicals.com/lyrics/iloveyouyoureperfectnowchange/studandababe.htm
Single Man Drought	https://www.allmusicals.com/lyrics/iloveyouyoureperfectnowchange/singlemandrought.htm
Why? 'Cause I'm a Guy	https://www.allmusicals.com/lyrics/iloveyouyoureperfectnowchange/whycauseimaguy.htm
Tear Jerk	https://www.allmusicals.com/lyrics/iloveyouyoureperfectnowchange/tearjerk.htm
I Will Be Loved Tonight	https://www.allmusicals.com/lyrics/iloveyouyoureperfectnowchange/iwillbelovedtonight.htm
Hey There, Single Gut/Gal	https://www.allmusicals.com/lyrics/iloveyouyoureperfectnowchange/heytheresinglegutgal.htm
Satisfaction Guaranteed	https://www.allmusicals.com/lyrics/iloveyouyoureperfectnowchange/satisfactionguaranteed.htm
Cantata Reprise/Wedding Vows	https://www.allmusicals.com/lyrics/iloveyouyoureperfectnowchange/cantatarepriseweddingvows.htm
Cantata Reprise/Always A Bridesmaid	https://www.allmusicals.com/lyrics/iloveyouyoureperfectnowchange/cantatareprisealwaysabridesmaid.htm
Baby Song	https://www.allmusicals.com/lyrics/iloveyouyoureperfectnowchange/babysong.htm
Marriage Tango	https://www.allmusicals.com/lyrics/iloveyouyoureperfectnowchange/marriagetango.htm
On the Highway of Love	https://www.allmusicals.com/lyrics/iloveyouyoureperfectnowchange/onthehighwayoflove.htm
Shouldn't I Be Less in Love With You?	https://www.allmusicals.com/lyrics/iloveyouyoureperfectnowchange/shouldntibelessinlovewithyou.htm
I Can Live With That	https://www.allmusicals.com/lyrics/iloveyouyoureperfectnowchange/icanlivewiththat.htm
Epilogue/I Love You, You're Perfect, Now Change	https://www.allmusicals.com/lyrics/iloveyouyoureperfectnowchange/epilogueiloveyouyoureperfectnowchange.htm
