song-name	url
In the Heights	https://www.allmusicals.com/lyrics/intheheights/intheheights.htm
Breathe	https://www.allmusicals.com/lyrics/intheheights/breathe.htm
Benny's Dispatch	https://www.allmusicals.com/lyrics/intheheights/bennysdispatch.htm
It Won't Be Long Now	https://www.allmusicals.com/lyrics/intheheights/itwontbelongnow.htm
Inutil	https://www.allmusicals.com/lyrics/intheheights/inutil.htm
No Me Diga	https://www.allmusicals.com/lyrics/intheheights/nomediga.htm
96,000	https://www.allmusicals.com/lyrics/intheheights/96000.htm
Paciencia Y Fe (Patience and Faith)	https://www.allmusicals.com/lyrics/intheheights/pacienciayfepatienceandfaith.htm
When You're Home	https://www.allmusicals.com/lyrics/intheheights/whenyourehome.htm
Piragua	https://www.allmusicals.com/lyrics/intheheights/piragua.htm
The Club	https://www.allmusicals.com/lyrics/intheheights/theclub.htm
Blackout	https://www.allmusicals.com/lyrics/intheheights/blackout.htm
Sunrise	https://www.allmusicals.com/lyrics/intheheights/sunrise.htm
Hundreds of Stories	https://www.allmusicals.com/lyrics/intheheights/hundredsofstories.htm
Enough	https://www.allmusicals.com/lyrics/intheheights/enough.htm
Carnaval del Barrio	https://www.allmusicals.com/lyrics/intheheights/carnavaldelbarrio.htm
Atencion	https://www.allmusicals.com/lyrics/intheheights/atencion.htm
Alabanza	https://www.allmusicals.com/lyrics/intheheights/alabanza.htm
Everything I Know	https://www.allmusicals.com/lyrics/intheheights/everythingiknow.htm
Piragua (Reprise)	https://www.allmusicals.com/lyrics/intheheights/piraguareprise.htm
Champagne	https://www.allmusicals.com/lyrics/intheheights/champagne.htm
When The Sun Goes Down	https://www.allmusicals.com/lyrics/intheheights/whenthesungoesdown.htm
Finale	https://www.allmusicals.com/lyrics/intheheights/finale.htm
