song-name	url
Marvin's Giddy Seizures	https://www.allmusicals.com/lyrics/introusers/marvinsgiddyseizures.htm
How The Body Falls Apart/Your Lips And Me	https://www.allmusicals.com/lyrics/introusers/howthebodyfallsapartyourlipsandme.htm
Set Those Sails	https://www.allmusicals.com/lyrics/introusers/setthosesails.htm
My Chance To Survive The Night	https://www.allmusicals.com/lyrics/introusers/mychancetosurvivethenight.htm
How Marvin Eats His Breakfast	https://www.allmusicals.com/lyrics/introusers/howmarvineatshisbreakfast.htm
A Breakfast Over Sugar	https://www.allmusicals.com/lyrics/introusers/abreakfastoversugar.htm
Whizzer Going Down	https://www.allmusicals.com/lyrics/introusers/whizzergoingdown.htm
High School Ladies At 5 O'clock	https://www.allmusicals.com/lyrics/introusers/highschoolladiesat5oclock.htm
The Rape Of Miss Goldberg	https://www.allmusicals.com/lyrics/introusers/therapeofmissgoldberg.htm
The Nausea Before The Game	https://www.allmusicals.com/lyrics/introusers/thenauseabeforethegame.htm
Love Me For What I Am	https://www.allmusicals.com/lyrics/introusers/lovemeforwhatiam.htm
Marvin Takes a Victory Shower	https://www.allmusicals.com/lyrics/introusers/marvintakesavictoryshower.htm
In Trousers (The Dream)	https://www.allmusicals.com/lyrics/introusers/introusersthedream.htm
