song-name	url
Overture	https://www.allmusicals.com/lyrics/jaggedlittlepill/overture.htm
Right Through You	https://www.allmusicals.com/lyrics/jaggedlittlepill/rightthroughyou.htm
All I Really Want	https://www.allmusicals.com/lyrics/jaggedlittlepill/allireallywant.htm
Hand In My Pocket	https://www.allmusicals.com/lyrics/jaggedlittlepill/handinmypocket.htm
Smiling	https://www.allmusicals.com/lyrics/jaggedlittlepill/smiling.htm
Ironic	https://www.allmusicals.com/lyrics/jaggedlittlepill/ironic.htm
So Unsexy	https://www.allmusicals.com/lyrics/jaggedlittlepill/sounsexy.htm
Perfect	https://www.allmusicals.com/lyrics/jaggedlittlepill/perfect.htm
Lancer’s Party (So Pure)	https://www.allmusicals.com/lyrics/jaggedlittlepill/lancerspartysopure.htm
That I Would Be Good	https://www.allmusicals.com/lyrics/jaggedlittlepill/thatiwouldbegood.htm
Wake Up	https://www.allmusicals.com/lyrics/jaggedlittlepill/wakeup.htm
Forgiven	https://www.allmusicals.com/lyrics/jaggedlittlepill/forgiven.htm
Entr’Acte/Hands Clean	https://www.allmusicals.com/lyrics/jaggedlittlepill/entractehandsclean.htm
Not the Doctor	https://www.allmusicals.com/lyrics/jaggedlittlepill/notthedoctor.htm
Head Over Feet	https://www.allmusicals.com/lyrics/jaggedlittlepill/headoverfeet.htm
Your House	https://www.allmusicals.com/lyrics/jaggedlittlepill/yourhouse.htm
Unprodigal Daughter	https://www.allmusicals.com/lyrics/jaggedlittlepill/unprodigaldaughter.htm
Predator	https://www.allmusicals.com/lyrics/jaggedlittlepill/predator.htm
You Oughta Know	https://www.allmusicals.com/lyrics/jaggedlittlepill/yououghtaknow.htm
Uninvited	https://www.allmusicals.com/lyrics/jaggedlittlepill/uninvited.htm
Mary Jane	https://www.allmusicals.com/lyrics/jaggedlittlepill/maryjane.htm
No	https://www.allmusicals.com/lyrics/jaggedlittlepill/no.htm
Thank U	https://www.allmusicals.com/lyrics/jaggedlittlepill/thanku.htm
You Learn	https://www.allmusicals.com/lyrics/jaggedlittlepill/youlearn.htm
